field,tract,night,ra,dec,ecl_lat,n_visits,n_panels,pairs
0,3052,20250723,5.97,-42.4,-40.5,17,70,16
1,3235,20250723,9.73,-40.91,-40.7,14,30,13
2,5063,20250728,53.09,-27.52,-44.9,12,768,11
3,4849,20250722,53.83,-29.01,-46.5,12,639,11
4,4848,20250722,52.15,-29.01,-46.0,12,633,11
5,2395,20250728,61.46,-48.35,-66.6,12,594,11
6,5062,20250728,51.43,-27.52,-44.4,12,570,11
7,2394,20250717,59.27,-48.35,-65.9,12,512,11
8,2234,20250717,58.87,-49.83,-67.0,12,422,11
9,2235,20250728,61.13,-49.83,-67.8,12,396,11
10,5064,20250722,54.75,-27.52,-45.4,12,396,11
11,5280,20250728,52.6,-26.03,-43.4,12,276,11
12,2559,20250728,60.0,-46.86,-64.8,12,186,11
13,4847,20250728,50.47,-29.01,-45.5,12,132,11
14,5281,20250722,54.25,-26.03,-43.8,12,132,11
15,4850,20250722,55.51,-29.01,-47.0,12,103,11
16,4637,20250722,52.89,-30.5,-47.6,12,84,11
17,5279,20250728,50.96,-26.03,-42.9,12,72,11
18,4638,20250722,54.6,-30.5,-48.2,12,24,11
19,4636,20250728,51.18,-30.5,-47.1,12,12,11
24,10563,20250501,186.72,6.69,8.8,120,4315,119
25,10562,20250501,185.23,6.69,8.2,104,791,103
26,10803,20250501,186.0,8.18,9.9,120,4900,119
27,10564,20250501,188.22,6.69,9.4,120,4130,119
28,10322,20250501,187.44,5.21,7.7,28,147,27
29,10321,20250501,185.95,5.21,7.1,19,26,18
