field,visit,detector,x,y,stack_snr,mf_snr,mf_pa,mf_len,label,objID,true_beta,true_len,snr_target
2,2025072800398,17,1684.0,564.0,0.762831793655124,13.967980939407422,52.5,8.0,fp,,,,
2,2025072800398,17,130.0,1033.0,0.6617489360165154,20.737203791249236,67.5,6.0,fp,,,,
2,2025072800398,17,3773.0,1424.0,0.6220964599559438,17.555284399245775,105.0,6.0,fp,,,,
2,2025072800398,17,2222.0,1787.0,5.636731059831901,554.7059984167612,37.5,6.0,fp,,,,
2,2025072800398,17,55.0,2115.0,0.7066240972669856,27.568179661185898,22.5,6.0,fp,,,,
2,2025072800398,17,3524.0,2451.0,2.3189438991301574,143.9855901680675,45.0,6.0,fp,,,,
2,2025072800398,17,3925.0,2493.0,0.4880733573396366,14.923181489229691,82.5,6.0,fp,,,,
2,2025072800398,17,1673.0,3278.0,1.8190393612498448,116.52940378651412,52.5,6.0,fp,,,,
2,2025072800398,17,20.0,3624.0,0.5438844585195238,11.889035898127437,30.0,18.0,fp,,,,
2,2025072800398,17,2188.0,3747.0,7.758662682031414,836.2481602542712,75.0,6.0,fp,,,,
2,2025072800368,24,1520.0,81.0,0.424250574075193,7.100039304353315,15.0,12.0,fp,,,,
2,2025072800368,24,903.0,197.0,1.7327698164963612,27.567274459176957,15.0,12.0,fp,,,,
2,2025072800368,24,2335.0,365.0,0.435764640846722,7.621579535698278,37.5,8.0,fp,,,,
2,2025072800368,24,650.0,712.0,0.8246155522005317,23.004534470239562,142.5,6.0,fp,,,,
2,2025072800368,24,97.0,741.0,0.580963667663075,15.834021602896923,135.0,14.0,fp,,,,
2,2025072800368,24,1455.0,802.0,18.56830198830493,788.7295645615495,37.5,8.0,fp,,,,
2,2025072800368,24,3273.0,1054.0,0.4859821917489986,9.990105606357316,7.5,8.0,fp,,,,
2,2025072800368,24,712.0,1211.0,0.5236880241408634,6.934302997399562,37.5,24.0,fp,,,,
2,2025072800368,24,274.0,1224.0,0.462135607369541,8.363627541852312,52.5,30.0,fp,,,,
2,2025072800368,24,3442.0,1483.0,0.5411097022886259,13.01512341966504,90.0,26.0,fp,,,,
2,2025072800368,24,594.0,1600.0,0.8073578251945123,25.70472021789203,37.5,8.0,fp,,,,
2,2025072800368,24,911.0,1765.0,0.6053410777514676,21.85025576438534,45.0,12.0,fp,,,,
2,2025072800368,24,657.0,1791.0,0.4115218526349639,10.313609631351882,45.0,12.0,fp,,,,
2,2025072800368,24,2190.0,1872.0,15.476980570847749,702.7454492835691,60.0,6.0,fp,,,,
2,2025072800368,24,936.0,1876.0,0.3941332809611571,11.916890984524228,22.5,8.0,fp,,,,
