#ptct,MJD,RA,Dec,idstring,mag,band,obscode,index1,index2,clusternum
0000,60874.209914,329.799910,-4.681296,1403,21.974,r,I11,1159,1405,1
0001,60874.232741,329.824298,-4.688712,1406,22.108,r,I11,1160,1408,1
0002,60874.253345,329.846280,-4.695404,1413,21.890,i,I11,1161,1415,1
0003,60876.246387,332.137013,-5.378209,1608,26.050,u,I11,1280,1610,1
0004,60876.248054,332.138880,-5.378815,1610,26.214,u,I11,1281,1612,1
0005,60877.209268,333.285652,-5.735110,1710,22.033,r,I11,1350,1712,1
0006,60877.234652,333.314850,-5.744822,1718,22.866,i,I11,1351,1720,1
0007,60878.197604,334.490440,-6.119777,1773,25.344,u,I11,1386,1775,1
0008,60878.235390,334.534958,-6.134959,1793,21.915,r,I11,1387,1795,1
0009,60878.256701,334.560016,-6.143513,1805,21.959,i,I11,1388,1807,1
