visit,detector,threshold,n_raw,n_isolated,median_psf_snr_isolated
2025080600392,38,5.0,1261,0,
2025080600392,38,4.0,1787,0,
2025080600392,38,3.0,4622,0,
2025081600297,69,5.0,2261,0,
2025081600297,69,4.0,3074,0,
2025081600297,69,3.0,5522,0,
2025081300371,30,5.0,2661,0,
2025081300371,30,4.0,4300,0,
2025081300371,30,3.0,12589,0,
2025081300440,132,5.0,1757,0,
2025081300440,132,4.0,2697,0,
2025081300440,132,3.0,8954,0,
2025082600560,164,5.0,2152,0,
2025082600560,164,4.0,3046,0,
2025082600560,164,3.0,6528,0,
2025082600630,39,5.0,2275,0,
2025082600630,39,4.0,3203,0,
2025082600630,39,3.0,5937,0,
2025081600611,109,5.0,1265,0,
2025081600611,109,4.0,1707,0,
2025081600611,109,3.0,3221,0,
2025092100127,105,5.0,4648,0,
2025092100127,105,4.0,5505,0,
2025092100127,105,3.0,7546,0,
2025081400305,21,5.0,1603,0,
2025081400305,21,4.0,2181,0,
2025081400305,21,3.0,3495,0,
2025082800193,163,5.0,2517,0,
2025082800193,163,4.0,4005,0,
2025082800193,163,3.0,9343,0,
