thr,new_obj,new_sight,fp_ccd
0.02,22,136,467.98
0.025,21,130,409.27
0.03,17,118,359.77
0.035,17,107,316.85
0.04,16,100,277.13
0.045,14,84,227.11
0.05,14,79,200.95
0.055,14,73,179.25
0.06,14,71,160.45
0.065,12,68,143.89
0.07,12,62,130.14
0.075,11,57,118.17
0.08,9,53,107.91
0.085,9,51,98.99
0.09,8,50,91.49
0.095,8,48,85.05
0.1,8,47,79.17
0.11,8,44,68.41
0.12,5,40,60.06
0.13,4,38,53.75
0.14,4,34,48.43
0.15,4,28,44.75
0.16,4,26,41.16
0.17,4,22,38.05
0.18,3,21,35.47
0.19,3,20,33.15
0.2,3,20,31.38
0.21,3,20,29.59
0.22,3,20,27.98
0.23,3,19,26.43
0.24,3,19,25.16
0.25,3,19,23.84
0.26,3,17,22.68
0.27,3,16,21.5
0.28,3,16,20.34
0.29,2,14,19.48
0.3,2,14,18.61
0.32,2,13,17.03
0.34,2,12,15.72
0.36,2,11,14.47
0.38,2,11,13.46
0.4,2,8,12.39
0.42,2,7,11.41
0.44,2,6,10.43
0.46,2,5,9.69
0.48,0,3,9.01
0.5,0,3,8.26
0.52,0,3,7.49
0.54,0,3,6.83
0.56,0,3,6.19
0.58,0,3,5.59
0.6,0,3,5.07
0.62,0,3,4.55
0.64,0,3,4.09
0.66,0,3,3.67
0.68,0,3,3.27
0.7,0,2,2.91
0.72,0,2,2.53
0.74,0,1,2.19
0.76,0,1,1.92
0.78,0,1,1.61
0.8,0,1,1.32
0.82,0,1,1.11
0.84,0,0,0.99
0.86,0,0,0.81
0.88,0,0,0.69
0.9,0,0,0.55
0.92,0,0,0.43
0.94,0,0,0.32
