base,new_obj,new_sight,fp_ccd_worst,thr_by_bin
0.02,2,28,467.98,"{""<3"": 0.32, ""3-5"": 0.02, ""5-7"": 0.02, ""7-12"": 0.12, "">12"": 0.32}"
0.04,2,27,467.98,"{""<3"": 0.34, ""3-5"": 0.02, ""5-7"": 0.02, ""7-12"": 0.14, "">12"": 0.34}"
0.06,2,25,467.98,"{""<3"": 0.36, ""3-5"": 0.02, ""5-7"": 0.04, ""7-12"": 0.16, "">12"": 0.36}"
0.08,2,21,277.13,"{""<3"": 0.38, ""3-5"": 0.04, ""5-7"": 0.06, ""7-12"": 0.18, "">12"": 0.38}"
0.1,2,17,160.45,"{""<3"": 0.4, ""3-5"": 0.06, ""5-7"": 0.08, ""7-12"": 0.2, "">12"": 0.4}"
0.12,2,15,107.91,"{""<3"": 0.42, ""3-5"": 0.08, ""5-7"": 0.1, ""7-12"": 0.22, "">12"": 0.42}"
0.14,2,14,79.17,"{""<3"": 0.44, ""3-5"": 0.1, ""5-7"": 0.12, ""7-12"": 0.24, "">12"": 0.44}"
0.16,2,13,60.06,"{""<3"": 0.46, ""3-5"": 0.12, ""5-7"": 0.14, ""7-12"": 0.26, "">12"": 0.46}"
0.18,0,9,48.43,"{""<3"": 0.48, ""3-5"": 0.14, ""5-7"": 0.16, ""7-12"": 0.28, "">12"": 0.48}"
0.2,0,7,41.16,"{""<3"": 0.5, ""3-5"": 0.16, ""5-7"": 0.18, ""7-12"": 0.3, "">12"": 0.5}"
0.22,0,6,35.47,"{""<3"": 0.52, ""3-5"": 0.18, ""5-7"": 0.2, ""7-12"": 0.32, "">12"": 0.52}"
0.24,0,6,31.38,"{""<3"": 0.54, ""3-5"": 0.2, ""5-7"": 0.22, ""7-12"": 0.34, "">12"": 0.54}"
0.26,0,6,27.98,"{""<3"": 0.56, ""3-5"": 0.22, ""5-7"": 0.24, ""7-12"": 0.36, "">12"": 0.56}"
0.28,0,6,25.16,"{""<3"": 0.58, ""3-5"": 0.24, ""5-7"": 0.26, ""7-12"": 0.38, "">12"": 0.58}"
0.3,0,6,22.68,"{""<3"": 0.6, ""3-5"": 0.26, ""5-7"": 0.28, ""7-12"": 0.4, "">12"": 0.6}"
0.32,0,6,20.34,"{""<3"": 0.62, ""3-5"": 0.28, ""5-7"": 0.3, ""7-12"": 0.42, "">12"": 0.62}"
0.34,0,5,18.61,"{""<3"": 0.64, ""3-5"": 0.3, ""5-7"": 0.32, ""7-12"": 0.44, "">12"": 0.64}"
0.36,0,5,17.03,"{""<3"": 0.66, ""3-5"": 0.32, ""5-7"": 0.34, ""7-12"": 0.46, "">12"": 0.66}"
0.38,0,5,15.72,"{""<3"": 0.68, ""3-5"": 0.34, ""5-7"": 0.36, ""7-12"": 0.48, "">12"": 0.68}"
0.4,0,4,14.47,"{""<3"": 0.7, ""3-5"": 0.36, ""5-7"": 0.38, ""7-12"": 0.5, "">12"": 0.7}"
0.42,0,4,13.46,"{""<3"": 0.72, ""3-5"": 0.38, ""5-7"": 0.4, ""7-12"": 0.52, "">12"": 0.72}"
0.44,0,1,12.39,"{""<3"": 0.74, ""3-5"": 0.4, ""5-7"": 0.42, ""7-12"": 0.54, "">12"": 0.74}"
0.46,0,1,11.41,"{""<3"": 0.76, ""3-5"": 0.42, ""5-7"": 0.44, ""7-12"": 0.56, "">12"": 0.76}"
0.48,0,1,10.43,"{""<3"": 0.78, ""3-5"": 0.44, ""5-7"": 0.46, ""7-12"": 0.58, "">12"": 0.78}"
0.5,0,1,9.69,"{""<3"": 0.8, ""3-5"": 0.46, ""5-7"": 0.48, ""7-12"": 0.6, "">12"": 0.8}"
0.52,0,1,9.01,"{""<3"": 0.82, ""3-5"": 0.48, ""5-7"": 0.5, ""7-12"": 0.62, "">12"": 0.82}"
0.54,0,0,8.26,"{""<3"": 0.84, ""3-5"": 0.5, ""5-7"": 0.52, ""7-12"": 0.64, "">12"": 0.84}"
0.56,0,0,7.49,"{""<3"": 0.86, ""3-5"": 0.52, ""5-7"": 0.54, ""7-12"": 0.66, "">12"": 0.86}"
0.58,0,0,6.83,"{""<3"": 0.88, ""3-5"": 0.54, ""5-7"": 0.56, ""7-12"": 0.68, "">12"": 0.88}"
0.6,0,0,6.19,"{""<3"": 0.9, ""3-5"": 0.56, ""5-7"": 0.58, ""7-12"": 0.7, "">12"": 0.9}"
0.62,0,0,5.59,"{""<3"": 0.92, ""3-5"": 0.58, ""5-7"": 0.6, ""7-12"": 0.72, "">12"": 0.92}"
0.64,0,0,5.07,"{""<3"": 0.94, ""3-5"": 0.6, ""5-7"": 0.62, ""7-12"": 0.74, "">12"": 0.94}"
0.66,0,0,4.55,"{""<3"": 0.96, ""3-5"": 0.62, ""5-7"": 0.64, ""7-12"": 0.76, "">12"": 0.96}"
0.68,0,0,4.09,"{""<3"": 0.98, ""3-5"": 0.64, ""5-7"": 0.66, ""7-12"": 0.78, "">12"": 0.98}"
0.7,0,0,3.67,"{""<3"": 0.98, ""3-5"": 0.66, ""5-7"": 0.68, ""7-12"": 0.8, "">12"": 0.98}"
0.72,0,0,3.27,"{""<3"": 0.98, ""3-5"": 0.68, ""5-7"": 0.7, ""7-12"": 0.82, "">12"": 0.98}"
0.74,0,0,2.91,"{""<3"": 0.98, ""3-5"": 0.7, ""5-7"": 0.72, ""7-12"": 0.84, "">12"": 0.98}"
0.76,0,0,2.53,"{""<3"": 0.98, ""3-5"": 0.72, ""5-7"": 0.74, ""7-12"": 0.86, "">12"": 0.98}"
0.78,0,0,2.19,"{""<3"": 0.98, ""3-5"": 0.74, ""5-7"": 0.76, ""7-12"": 0.88, "">12"": 0.98}"
0.8,0,0,1.92,"{""<3"": 0.98, ""3-5"": 0.76, ""5-7"": 0.78, ""7-12"": 0.9, "">12"": 0.98}"
0.82,0,0,1.61,"{""<3"": 0.98, ""3-5"": 0.78, ""5-7"": 0.8, ""7-12"": 0.92, "">12"": 0.98}"
0.84,0,0,1.32,"{""<3"": 0.98, ""3-5"": 0.8, ""5-7"": 0.82, ""7-12"": 0.94, "">12"": 0.98}"
0.86,0,0,1.11,"{""<3"": 0.98, ""3-5"": 0.82, ""5-7"": 0.84, ""7-12"": 0.96, "">12"": 0.98}"
0.88,0,0,0.99,"{""<3"": 0.98, ""3-5"": 0.84, ""5-7"": 0.86, ""7-12"": 0.98, "">12"": 0.98}"
