rf,thr,TP,TP_recall,FP_per_panel
neg5,0.3,23,0.3194444444444444,171.86
neg5,0.4,20,0.2777777777777778,107.35333333333334
neg5,0.5,16,0.2222222222222222,68.72
neg5,0.6,10,0.1388888888888889,42.026666666666664
neg5,0.7,8,0.1111111111111111,23.053333333333335
neg5,0.8,1,0.013888888888888888,9.493333333333334
neg5,0.9,1,0.013888888888888888,2.2333333333333334
neg5,0.95,0,0.0,0.7
neg10,0.3,17,0.2361111111111111,91.17333333333333
neg10,0.4,12,0.16666666666666666,55.57333333333333
neg10,0.5,10,0.1388888888888889,34.99333333333333
neg10,0.6,7,0.09722222222222222,20.253333333333334
neg10,0.7,3,0.041666666666666664,9.926666666666666
neg10,0.8,1,0.013888888888888888,4.093333333333334
neg10,0.9,0,0.0,1.2866666666666666
neg10,0.95,0,0.0,0.4666666666666667
neg20,0.3,10,0.1388888888888889,52.593333333333334
neg20,0.4,10,0.1388888888888889,34.12
neg20,0.5,8,0.1111111111111111,21.786666666666665
neg20,0.6,5,0.06944444444444445,12.793333333333333
neg20,0.7,1,0.013888888888888888,6.88
neg20,0.8,1,0.013888888888888888,2.8
neg20,0.9,0,0.0,1.0733333333333333
neg20,0.95,0,0.0,0.4666666666666667
neg50,0.3,9,0.125,34.32666666666667
neg50,0.4,7,0.09722222222222222,23.02
neg50,0.5,5,0.06944444444444445,15.54
neg50,0.6,3,0.041666666666666664,9.273333333333333
neg50,0.7,1,0.013888888888888888,5.2
neg50,0.8,0,0.0,2.3533333333333335
neg50,0.9,0,0.0,0.92
neg50,0.95,0,0.0,0.46
all,0.3,7,0.09722222222222222,29.826666666666668
all,0.4,5,0.06944444444444445,20.506666666666668
all,0.5,5,0.06944444444444445,14.34
all,0.6,3,0.041666666666666664,8.62
all,0.7,2,0.027777777777777776,4.966666666666667
all,0.8,0,0.0,2.4066666666666667
all,0.9,0,0.0,0.92
all,0.95,0,0.0,0.43333333333333335
