feat,real_auc,synth_imp,gap
elongation,0.6485729166666667,0.007950059201853925,-0.24893004342602953
mf_length,0.6448194444444444,0.005522470474162018,-0.1313040792636565
area,0.6416302083333333,0.008271325807516314,-0.27193608204248243
area_ratio,0.6393836805555555,0.005875573560373921,-0.15439499746314056
loc_min_z,0.6330729166666667,0.004371576240121969,-0.08550589533943179
loc_neg_frac,0.6320868055555556,0.0027287596263510052,-0.004351175761994619
loc_nneg,0.6268576388888889,0.0027513048022313035,-0.010707601222676277
p_med_mf_snr,0.6241510416666667,0.0031313784908428045,-0.032417882875473536
bbox_w,0.6235729166666667,0.0037401627990426007,-0.06343522328546333
mf_n_line,0.6230694444444445,0.004792304062243692,-0.11654575866774014
mean_p,0.6136770833333333,0.05321704179581049,-2.547175006457191
or_agg_max,0.6134930555555556,0.08532632093069734,-4.152822990979311
lpca_elong_w32_t05,0.6125347222222222,0.005321952453327268,-0.15356290044414123
loc_std_z,0.6036076388888889,0.004036401583386489,-0.09821244028043552
top5_mean_p,0.6005781250000001,0.0882925410889625,-4.314048929448125
lpca_L_w48_t10,0.5970972222222222,0.003979079923822128,-0.10185677396888423
loc_dipole,0.5943749999999999,0.0042407989651449506,-0.11766494825724766
or_beta,0.5900416666666667,0.004144123529653436,-0.11716450981600512
or_n_pix,0.5873576388888889,0.005803663209471905,-0.2028255215847063
lpca_L_w32_t05,0.5805173611111112,0.003877530702581016,-0.11335917401793963
max_p,0.5793194444444445,0.08262941951473458,-4.052151531292284
loc_pos_frac,0.5791163194444444,0.0030378482906243294,-0.07277609508677205
loc_npos,0.5758784722222222,0.002966136814587595,-0.07242836850715753
aspect,0.5749930555555556,0.004181404667755433,-0.13407717783221607
or_r,0.5740590277777778,0.004892357557734006,-0.17055885010892244
integrated_logit,0.5667569444444445,0.04568020684293815,-2.2172533977024633
mf_snr_norm,0.557875,0.024529883899456515,-1.168619194972826
lpca_snr_w64_t20_L60,0.55278125,0.0043302366840247955,-0.16373058420123976
lpca_elong_w48_t10,0.5484027777777778,0.003678335058606843,-0.13551397515256436
loc_skew,0.5467951388888889,0.004853510601149045,-0.19588039116856337
lpca_elong_w64_t20,0.54540625,0.004380323462680062,-0.1736099231340031
bbox_h,0.5452222222222223,0.0036270061916185738,-0.1361280873587064
pcount,0.5432430555555556,0.0023455338681403737,-0.07403363785146305
loc_sum_z,0.542875,0.0065806255417913,-0.286156277089565
or_agg_mean_loose,0.54134375,0.0055366107722601525,-0.2354867886130076
lmf_flux_120,0.5404861111111112,0.003745416694935934,-0.14678472363568548
lpca_snr_w48_t10_L80,0.539232638888889,0.0057020860271888235,-0.24587166247055225
lpca_L_w64_t20,0.5388090277777778,0.004510347890674273,-0.1867083667559358
mf_flux,0.5378368055555556,0.012482994407905873,-0.5863129148397381
mf_snr,0.5373541666666666,0.03453245926857355,-1.6892687967620108
meanang_80,0.5369809027777779,0.0019205474343634134,-0.059046468940392796
masnr_50,0.534875,0.046062830044995846,-2.2682665022497925
lmf_flux_30,0.5343229166666666,0.013001019253911552,-0.615728046028911
frac_real_label_overlap,0.5335,0.00023555354894150916,0.021722322552924514
maflux_80,0.5332604166666666,0.003268317749767748,-0.13015547082172083
lpca_flux_w64_t20_L60,0.5320833333333332,0.003842091315980011,-0.1600212324656673
loc_max_z,0.5300868055555555,0.0043884069780077565,-0.1893335433448323
or_agg_mean_tight,0.52928125,0.00572321087355488,-0.2568792936777439
or_flux_L50,0.5285034722222222,0.005438811753985718,-0.2434371154770637
maflux_30,0.5257222222222222,0.0036449968348556353,-0.15652761952055957
lmf_flux_60,0.5246597222222222,0.004793902014227387,-0.2150353784891471
or_flux_L30,0.5221319444444444,0.004259684652421477,-0.1908522881766294
lmf_flux_90,0.5211041666666667,0.004960484201035454,-0.22692004338510602
lmf_snr_60,0.5202048611111112,0.015005605185684882,-0.7300753981731329
masnr_30,0.5202048611111111,0.06451136029260424,-3.2053631535191007
lmf_snr_90,0.5198472222222223,0.014526974500151188,-0.7065015027853371
or_snr_L80,0.5196180555555556,0.011009215216611438,-0.5308427052750163
meanang_30,0.519328125,0.002357498358902215,-0.09854679294511073
lpca_snr_w48_t10_L50,0.5186666666666667,0.009277675792589828,-0.4452171229628247
lpca_flux_w32_t05_L40,0.5175798611111111,0.008557520427945279,-0.41029616028615284
maflux_50,0.517423611111111,0.0032486168283902433,-0.14500723030840115
or_snr_L50,0.51740625,0.024095453648612642,-1.1873664324306321
loc_med_z,0.5151631944444445,0.0076109237798911485,-0.36538299455011297
lpca_snr_w32_t05_L40,0.5142118055555556,0.026986172500583952,-1.3350968194736421
or_flux_L80,0.5139687500000001,0.0043193736636667765,-0.20199993318333875
meanang_50,0.5107326388888889,0.0021980408399895975,-0.09916940311059101
lmf_snr_30,0.5102256944444444,0.05247256655646823,-2.6134026333789673
or_snr_L30,0.5099201388888888,0.04401270157941599,-2.190714940081911
masnr_80,0.5077118055555556,0.02098537874300247,-1.041557131594568
lpca_flux_w48_t10_L80,0.5053124999999999,0.004387949981315921,-0.21408499906579612
lpca_flux_w48_t10_L50,0.5047048611111111,0.00498830433703886,-0.2447103557408319
lmf_snr_120,0.5002569444444445,0.0063116978061093995,-0.3153279458610255
