image_id,visit,detector,band
0,2025070900532,171,y
1,2025070900532,172,y
2,2025070900532,173,y
3,2025070900532,174,y
4,2025070900532,175,y
5,2025070900532,176,y
6,2025070900532,177,y
7,2025070900532,178,y
8,2025070900532,179,y
9,2025070900532,180,y
10,2025070900532,183,y
11,2025070900532,184,y
12,2025070900532,185,y
13,2025070900532,186,y
14,2025070900532,187,y
15,2025070900533,75,y
16,2025070900533,76,y
17,2025070900533,77,y
18,2025070900533,78,y
19,2025070900533,79,y
20,2025070900533,117,y
21,2025070900533,118,y
22,2025070900533,120,y
23,2025070900533,121,y
24,2025070900533,124,y
25,2025070900534,9,y
26,2025070900534,10,y
27,2025070900534,11,y
28,2025070900534,12,y
29,2025070900534,13,y
30,2025070900534,14,y
31,2025070900534,15,y
32,2025070900534,16,y
33,2025070900534,17,y
34,2025070900534,18,y
35,2025070900534,21,y
36,2025070900534,22,y
37,2025070900534,23,y
38,2025070900534,24,y
39,2025070900534,25,y
40,2025070900534,26,y
41,2025070900534,44,y
42,2025070900534,45,y
43,2025070900534,46,y
44,2025070900534,47,y
45,2025070900534,48,y
46,2025070900534,49,y
47,2025070900534,50,y
48,2025070900534,51,y
49,2025070900534,52,y
50,2025070900534,53,y
51,2025070900534,54,y
52,2025070900534,55,y
53,2025070900534,56,y
54,2025070900534,57,y
55,2025070900534,58,y
56,2025070900534,59,y
57,2025070900534,60,y
58,2025070900534,61,y
59,2025070900534,62,y
60,2025070900534,63,y
61,2025070900534,64,y
62,2025070900534,66,y
63,2025070900534,67,y
64,2025070900534,69,y
65,2025070900534,70,y
66,2025070900534,83,y
67,2025070900534,86,y
68,2025070900534,90,y
69,2025070900534,91,y
70,2025070900534,92,y
71,2025070900534,93,y
72,2025070900534,94,y
73,2025070900534,95,y
74,2025070900534,98,y
75,2025070900534,99,y
76,2025070900534,100,y
77,2025070900534,101,y
78,2025070900534,102,y
79,2025070900534,103,y
80,2025070900534,104,y
81,2025070900534,105,y
82,2025070900534,106,y
83,2025070900534,107,y
84,2025070900534,108,y
85,2025070900534,109,y
86,2025070900534,111,y
87,2025070900534,114,y
88,2025070900580,171,y
89,2025070900580,172,y
90,2025070900580,173,y
91,2025070900580,174,y
92,2025070900580,175,y
93,2025070900580,176,y
94,2025070900580,177,y
95,2025070900580,178,y
96,2025070900580,179,y
97,2025070900580,180,y
98,2025070900580,183,y
99,2025070900580,184,y
100,2025070900580,185,y
101,2025070900580,186,y
102,2025070900580,187,y
103,2025070900581,75,y
104,2025070900581,76,y
105,2025070900581,78,y
106,2025070900581,79,y
107,2025070900581,117,y
108,2025070900581,118,y
109,2025070900581,120,y
110,2025070900581,121,y
111,2025070900581,124,y
112,2025070900582,9,y
113,2025070900582,10,y
114,2025070900582,11,y
115,2025070900582,12,y
116,2025070900582,13,y
117,2025070900582,14,y
118,2025070900582,15,y
119,2025070900582,16,y
120,2025070900582,17,y
121,2025070900582,18,y
122,2025070900582,21,y
123,2025070900582,22,y
124,2025070900582,23,y
125,2025070900582,24,y
126,2025070900582,25,y
127,2025070900582,26,y
128,2025070900582,44,y
129,2025070900582,45,y
