#r(AU) rdot(AU/day) norm mean_accel
1.050000 -0.000000 109499.000000 0.000000
1.050000 -0.000000 109499.000000 -0.200000
1.050000 -0.000000 109499.000000 0.200000
1.050000 -0.000000 109499.000000 -0.400000
1.050000 -0.000000 109499.000000 0.400000
1.050000 -0.000000 109499.000000 -0.600000
1.050000 0.000000 57732 0.000000
1.050000 0.000000 57732 -0.400000
1.050000 0.000000 57732 0.400000
1.050000 0.000200 109499.000000 0.000000
1.050000 0.000200 109499.000000 -0.200000
1.050000 0.000200 109499.000000 0.200000
1.050000 0.000200 109499.000000 -0.400000
1.050000 0.000200 109499.000000 0.400000
1.050000 0.000200 109499.000000 -0.600000
1.050000 -0.000200 49519.000000 0.000000
1.050000 -0.000200 49519.000000 -0.200000
1.050000 -0.000200 49519.000000 0.200000
1.050000 -0.000200 49519.000000 -0.400000
1.050000 -0.000200 49519.000000 0.400000
1.050000 -0.000200 49519.000000 -0.600000
1.050000 0.000400 109499.000000 0.000000
1.050000 0.000400 109499.000000 -0.200000
1.050000 0.000400 109499.000000 0.200000
1.050000 0.000400 109499.000000 -0.400000
1.050000 0.000400 109499.000000 0.400000
1.050000 0.000400 109499.000000 -0.600000
1.050000 -0.000400 49519.000000 0.000000
1.050000 -0.000400 49519.000000 -0.200000
1.050000 -0.000400 49519.000000 0.200000
1.050000 -0.000400 49519.000000 -0.400000
1.050000 -0.000400 49519.000000 0.400000
1.050000 -0.000400 49519.000000 -0.600000
1.050000 0.000600 109499.000000 0.000000
1.050000 0.000600 109499.000000 -0.200000
1.050000 0.000600 109499.000000 0.200000
1.050000 0.000600 109499.000000 -0.400000
1.050000 0.000600 109499.000000 0.400000
1.050000 0.000600 109499.000000 -0.600000
1.050000 -0.000600 49519.000000 0.000000
1.050000 -0.000600 49519.000000 -0.200000
1.050000 -0.000600 49519.000000 0.200000
1.050000 -0.000600 49519.000000 -0.400000
1.050000 -0.000600 49519.000000 0.400000
1.050000 -0.000600 49519.000000 -0.600000
1.050000 0.000800 109499.000000 0.000000
1.050000 0.000800 109499.000000 -0.200000
1.050000 0.000800 109499.000000 0.200000
1.050000 0.000800 109499.000000 -0.400000
1.050000 0.000800 109499.000000 0.400000
1.050000 0.000800 109499.000000 -0.600000
1.050000 -0.000800 49519.000000 0.000000
1.050000 -0.000800 49519.000000 -0.200000
1.050000 -0.000800 49519.000000 0.200000
1.050000 -0.000800 49519.000000 -0.400000
1.050000 -0.000800 49519.000000 0.400000
1.050000 -0.000800 49519.000000 -0.600000
1.050000 0.001000 109499.000000 0.000000
1.050000 0.001000 109499.000000 -0.200000
1.050000 0.001000 109499.000000 0.200000
1.050000 0.001000 109499.000000 -0.400000
1.050000 0.001000 109499.000000 0.400000
1.050000 0.001000 109499.000000 -0.600000
1.050000 -0.001000 49519.000000 0.000000
1.050000 -0.001000 49519.000000 -0.200000
1.050000 -0.001000 49519.000000 0.200000
1.050000 -0.001000 49519.000000 -0.400000
1.050000 -0.001000 49519.000000 0.400000
1.050000 -0.001000 49519.000000 -0.600000
1.050000 0.001200 109499.000000 0.000000
1.050000 0.001200 109499.000000 -0.200000
1.050000 0.001200 109499.000000 0.200000
1.050000 0.001200 109499.000000 -0.400000
1.050000 0.001200 109499.000000 0.400000
1.050000 0.001200 109499.000000 -0.600000
1.050000 -0.001200 49519.000000 0.000000
1.050000 -0.001200 49519.000000 -0.200000
1.050000 -0.001200 49519.000000 0.200000
1.050000 -0.001200 49519.000000 -0.400000
1.050000 -0.001200 49519.000000 0.400000
1.050000 -0.001200 49519.000000 -0.600000
1.050000 0.001400 109499.000000 0.000000
1.050000 0.001400 109499.000000 -0.200000
1.050000 0.001400 109499.000000 0.200000
1.050000 0.001400 109499.000000 -0.400000
1.050000 0.001400 109499.000000 0.400000
1.050000 0.001400 109499.000000 -0.600000
1.050000 -0.001400 49519.000000 0.000000
1.050000 -0.001400 49519.000000 -0.200000
1.050000 -0.001400 49519.000000 0.200000
1.050000 -0.001400 49519.000000 -0.400000
1.050000 -0.001400 49519.000000 0.400000
1.050000 -0.001400 49519.000000 -0.600000
1.050000 0.001600 109499.000000 0.000000
1.050000 0.001600 109499.000000 -0.200000
1.050000 0.001600 109499.000000 0.200000
1.050000 0.001600 109499.000000 -0.400000
1.050000 0.001600 109499.000000 0.400000
1.050000 0.001600 109499.000000 -0.600000
1.050000 -0.001600 49519.000000 0.000000
1.050000 -0.001600 49519.000000 -0.200000
1.050000 -0.001600 49519.000000 0.200000
1.050000 -0.001600 49519.000000 -0.400000
1.050000 -0.001600 49519.000000 0.400000
1.050000 -0.001600 49519.000000 -0.600000
1.050000 0.001800 109499.000000 0.000000
1.050000 0.001800 109499.000000 -0.200000
1.050000 0.001800 109499.000000 0.200000
1.050000 0.001800 109499.000000 -0.400000
1.050000 0.001800 109499.000000 0.400000
1.050000 0.001800 109499.000000 -0.600000
1.050000 -0.001800 49519.000000 0.000000
1.050000 -0.001800 49519.000000 -0.200000
1.050000 -0.001800 49519.000000 0.200000
1.050000 -0.001800 49519.000000 -0.400000
1.050000 -0.001800 49519.000000 0.400000
1.050000 -0.001800 49519.000000 -0.600000
1.050000 0.002000 109499.000000 0.000000
1.050000 0.002000 109499.000000 -0.200000
1.050000 0.002000 109499.000000 0.200000
1.050000 0.002000 109499.000000 -0.400000
1.050000 0.002000 109499.000000 0.400000
1.050000 0.002000 109499.000000 -0.600000
