#ptct,MJD,RA,Dec,idstring,mag,band,obscode,index1,index2,clusternum
0000,60872.002895,221.641820,-39.310536,K22P20K,22.552,r,I11,323,428,1
0001,60872.010168,221.651490,-39.310327,K22P20K,20.281,r,I11,324,429,1
0002,60872.975397,223.046265,-39.277807,K22P20K,19.070,r,I11,325,430,1
0003,60872.976320,223.047535,-39.277774,K22P20K,19.031,r,I11,326,431,1
0004,60872.976781,223.048168,-39.277758,K22P20K,19.026,r,I11,327,432,1
0005,60872.977741,223.049490,-39.277723,K22P20K,19.081,r,I11,328,433,1
0006,60872.978201,223.050121,-39.277709,K22P20K,19.147,r,I11,329,434,1
0007,60872.978657,223.050748,-39.277690,K22P20K,19.106,r,I11,330,435,1
0008,60872.979112,223.051374,-39.277673,K22P20K,19.096,r,I11,331,436,1
0009,60872.981927,223.055248,-39.277569,K22P20K,19.061,r,I11,332,437,1
0010,60872.982380,223.055869,-39.277552,K22P20K,19.142,r,I11,333,438,1
0011,60872.986264,223.061212,-39.277404,K22P20K,19.143,r,I11,334,439,1
0012,60872.990071,223.066448,-39.277254,K22P20K,19.751,g,I11,335,440,1
0013,60872.991563,223.068502,-39.277195,K22P20K,19.657,g,I11,336,441,1
0014,60872.994002,223.071856,-39.277096,K22P20K,19.731,g,I11,337,442,1
0015,60872.995414,223.073800,-39.277030,K22P20K,19.806,g,I11,338,443,1
0016,60872.995892,223.074456,-39.277018,K22P20K,19.742,g,I11,339,444,1
0017,60873.001806,223.082593,-39.276767,K22P20K,19.823,g,I11,340,445,1
0018,60873.002825,223.083995,-39.276723,K22P20K,19.822,g,I11,341,446,1
0019,60873.003294,223.084640,-39.276702,K22P20K,19.794,g,I11,342,447,1
0020,60873.141665,223.277172,-39.268023,K22P20K,19.107,i,I11,343,448,1
0021,60873.143956,223.280419,-39.267841,K22P20K,19.063,i,I11,344,449,1
0022,60873.144413,223.281067,-39.267804,K22P20K,19.122,i,I11,345,450,1
0023,60873.144870,223.281715,-39.267768,K22P20K,19.071,i,I11,346,451,1
0024,60873.145329,223.282366,-39.267731,K22P20K,19.070,i,I11,347,452,1
0025,60873.147620,223.285617,-39.267547,K22P20K,19.118,i,I11,348,453,1
0026,60873.148076,223.286266,-39.267511,K22P20K,19.174,i,I11,349,454,1
0027,60873.148533,223.286913,-39.267474,K22P20K,19.111,i,I11,350,455,1
0028,60873.152184,223.292102,-39.267178,K22P20K,19.144,i,I11,351,456,1
0029,60873.155147,223.296317,-39.266937,K22P20K,19.623,g,I11,352,457,1
0030,60873.155606,223.296970,-39.266900,K22P20K,19.629,g,I11,353,458,1
0031,60873.156066,223.297626,-39.266862,K22P20K,19.639,g,I11,354,459,1
0032,60873.157441,223.299584,-39.266749,K22P20K,19.646,g,I11,355,460,1
0033,60873.159725,223.302839,-39.266561,K22P20K,19.646,g,I11,356,461,1
0034,60873.161096,223.304795,-39.266448,K22P20K,19.667,g,I11,357,462,1
0035,60873.161554,223.305448,-39.266410,K22P20K,19.669,g,I11,358,463,1
0036,60873.162013,223.306140,-39.266361,K22P20K,19.695,g,I11,359,464,1
0037,60873.162466,223.306749,-39.266335,K22P20K,19.659,g,I11,360,465,1
0038,60873.164296,223.309362,-39.266182,K22P20K,19.641,g,I11,361,466,1
0039,60873.166581,223.312627,-39.265992,K22P20K,19.692,g,I11,362,467,1
0040,60873.167036,223.313278,-39.265954,K22P20K,19.696,g,I11,363,468,1
0041,60873.167951,223.314586,-39.265877,K22P20K,19.661,g,I11,364,469,1
0042,60873.168410,223.315243,-39.265839,K22P20K,19.650,g,I11,365,470,1
0043,60873.170583,223.318353,-39.265656,K22P20K,19.066,r,I11,366,471,1
0044,60873.171040,223.319008,-39.265618,K22P20K,19.066,r,I11,367,472,1
0045,60873.171498,223.319663,-39.265579,K22P20K,19.051,r,I11,368,473,1
0046,60873.171958,223.320322,-39.265540,K22P20K,19.085,r,I11,369,474,1
0047,60873.172414,223.320975,-39.265502,K22P20K,19.049,r,I11,370,475,1
0048,60873.172875,223.321636,-39.265463,K22P20K,19.091,r,I11,371,476,1
0049,60873.173335,223.322295,-39.265424,K22P20K,19.096,r,I11,372,477,1
0050,60873.173792,223.322950,-39.265386,K22P20K,19.108,r,I11,373,478,1
0051,60873.174715,223.324273,-39.265307,K22P20K,19.084,r,I11,374,479,1
0052,60873.175171,223.324928,-39.265268,K22P20K,19.071,r,I11,375,480,1
0053,60873.176544,223.326897,-39.265152,K22P20K,19.078,r,I11,376,481,1
0054,60873.177921,223.328873,-39.265035,K22P20K,19.052,r,I11,377,482,1
0055,60873.178383,223.329537,-39.264995,K22P20K,19.133,r,I11,378,483,1
0056,60873.180673,223.332827,-39.264800,K22P20K,19.101,r,I11,379,484,1
0057,60873.181129,223.333482,-39.264761,K22P20K,19.079,r,I11,380,485,1
0058,60873.182503,223.335458,-39.264643,K22P20K,19.100,r,I11,381,486,1
0059,60873.183868,223.337423,-39.264526,K22P20K,19.082,r,I11,382,487,1
0060,60873.187043,223.341994,-39.264252,K22P20K,23.917,u,I11,383,488,1
0061,60873.187596,223.342790,-39.264204,K22P20K,23.512,u,I11,384,489,1
0062,60873.189253,223.345179,-39.264061,K22P20K,23.850,u,I11,385,490,1
0063,60873.190909,223.347568,-39.263917,K22P20K,23.385,u,I11,386,491,1
0064,60873.192556,223.349946,-39.263774,K22P20K,23.179,u,I11,387,492,1
0065,60873.194753,223.353120,-39.263582,K22P20K,23.811,u,I11,388,493,1
0066,60873.195299,223.353909,-39.263535,K22P20K,23.131,u,I11,389,494,1
0067,60873.195846,223.354700,-39.263487,K22P20K,23.210,u,I11,390,495,1
0068,60873.196945,223.356290,-39.263391,K22P20K,23.497,u,I11,391,496,1
0069,60873.198043,223.357878,-39.263295,K22P20K,24.089,u,I11,392,497,1
0070,60873.198600,223.358685,-39.263246,K22P20K,23.473,u,I11,393,498,1
0071,60873.199146,223.359517,-39.263193,K22P20K,23.533,u,I11,394,499,1
0072,60873.200804,223.361876,-39.263053,K22P20K,23.888,u,I11,395,500,1
0073,60873.204416,223.367113,-39.262734,K22P20K,19.952,z,I11,396,501,1
0074,60873.204866,223.367768,-39.262695,K22P20K,19.943,z,I11,397,502,1
0075,60873.206245,223.369768,-39.262573,K22P20K,20.096,z,I11,398,503,1
0076,60873.206700,223.370429,-39.262533,K22P20K,20.056,z,I11,399,504,1
0077,60873.207153,223.371087,-39.262493,K22P20K,19.999,z,I11,400,505,1
0078,60873.207611,223.371753,-39.262452,K22P20K,19.976,z,I11,401,506,1
0079,60873.210369,223.375762,-39.262208,K22P20K,20.043,z,I11,402,507,1
0080,60873.211744,223.377762,-39.262085,K22P20K,19.986,z,I11,403,508,1
0081,60873.212204,223.378433,-39.262044,K22P20K,20.010,z,I11,404,509,1
0082,60873.213117,223.379761,-39.261963,K22P20K,19.863,z,I11,405,510,1
0083,60873.213578,223.380433,-39.261922,K22P20K,20.088,z,I11,406,511,1
0084,60873.214041,223.381107,-39.261881,K22P20K,20.024,z,I11,407,512,1
0085,60873.214960,223.382446,-39.261799,K22P20K,19.995,z,I11,408,513,1
0086,60873.215875,223.383780,-39.261718,K22P20K,20.068,z,I11,409,514,1
0087,60873.216786,223.385108,-39.261636,K22P20K,19.986,z,I11,410,515,1
0000,60872.002895,221.641820,-39.310536,K22P20K,22.552,r,I11,323,428,2
