#ptct,MJD,RA,Dec,idstring,mag,band,obscode,index1,index2,clusternum
0000,60867.206937,353.892261,-0.815199,K25N02Y,22.321,z,I11,36,35,1
0001,60867.229814,353.950178,-0.790181,K25N02Y,22.843,z,I11,37,51,1
0002,60867.257390,354.019634,-0.760034,K25N02Y,21.500,z,I11,40,67,1
0003,60867.257847,354.020819,-0.759533,K25N02Y,21.500,z,I11,42,69,1
0004,60868.286914,356.658128,0.352319,K25N02Y,21.500,y,I11,159,218,1
0005,60868.309717,356.713476,0.376630,K25N02Y,21.500,i,I11,160,227,1
0006,60869.292615,359.167472,1.408134,K25N02Y,23.721,i,I11,214,290,1
0007,60869.316090,359.222764,1.432409,K25N02Y,21.500,z,I11,215,305,1
0000,60867.228771,3.743629,-0.301766,K20X02O,22.957,z,I11,61,50,2
0001,60867.258343,3.807177,-0.280938,K20X02O,21.500,z,I11,62,71,2
0002,60867.302980,3.902775,-0.249475,K20X02O,28.227,z,I11,63,96,2
0003,60867.303438,3.903781,-0.249153,K20X02O,25.746,z,I11,64,97,2
0004,60869.290357,8.360675,1.182964,K20X02O,23.022,i,I11,206,286,2
0005,60869.313821,8.413276,1.200229,K20X02O,21.500,z,I11,207,301,2
0006,60870.272427,10.637166,1.909910,K20X02O,21.500,y,I11,293,383,2
0007,60870.283324,10.662180,1.918054,K20X02O,21.500,y,I11,294,385,2
0000,60867.228771,3.743629,-0.301766,K20X02O,22.957,z,I11,61,50,3
0001,60867.258343,3.807177,-0.280938,K20X02O,21.500,z,I11,62,71,3
0002,60867.302980,3.902775,-0.249475,K20X02O,28.227,z,I11,63,96,3
0003,60867.303438,3.903781,-0.249153,K20X02O,25.746,z,I11,64,97,3
0004,60869.290357,8.360675,1.182964,K20X02O,23.022,i,I11,206,286,3
0005,60869.313821,8.413276,1.200229,K20X02O,21.500,z,I11,207,301,3
0006,60870.272427,10.637166,1.909910,K20X02O,21.500,y,I11,293,383,3
0007,60870.283324,10.662180,1.918054,K20X02O,21.500,y,I11,294,385,3
0000,60867.228771,3.743629,-0.301766,K20X02O,22.957,z,I11,61,50,4
0001,60867.258343,3.807177,-0.280938,K20X02O,21.500,z,I11,62,71,4
