#clusternum,posRMS,velRMS,totRMS,pairnum,timespan,uniquepoints,obsnights,metric,rating,heliodist,heliovel,helioacc,posX,posY,posZ,velX,velY,velZ
1,22660.130,39524.332,45559.349,3,2.109154,8,3,0.001111,PURE,1.062,-3.809,0.003155,83376366.667,-135235733.333,562033.333,29.340305,22.547915,-0.028865
2,48720.899,23357.555,54030.559,3,3.054552,8,3,0.001357,PURE,1.068,-11.428,0.001040,95000700.000,-128425900.000,-1808666.667,18.346750,27.887435,-1.368275
3,33891.369,28116.421,44035.872,3,3.054552,8,3,0.001665,PURE,1.070,-11.774,0.001036,95872600.000,-128153300.000,-1856766.667,18.067097,28.303165,-1.400638
4,25041.274,41117.035,48142.247,3,3.054552,8,3,0.001523,PURE,1.072,-12.120,0.001032,96732266.667,-127884066.667,-1904266.667,17.782946,28.713523,-1.432252
5,59308.128,12073.645,60524.598,3,3.054552,8,3,0.001211,PURE,1.076,-12.466,0.001024,98367833.333,-127406833.333,-1991366.667,17.842300,29.479631,-1.506726
6,35185.575,40405.354,53578.142,3,2.122010,7,3,0.000832,PURE,1.078,-1.385,-0.000000,81346133.333,-139243600.000,1144800.000,24.055391,15.667306,2.370676
7,60791.307,39397.938,72441.566,3,3.054552,8,3,0.001012,PURE,1.078,-12.813,0.001021,99195000.000,-127146166.667,-2037200.000,17.542154,29.874994,-1.536466
8,40527.538,26265.292,48294.378,3,3.054552,8,3,0.001518,PURE,1.078,-12.813,0.001021,99195000.000,-127146166.667,-2037200.000,17.542154,29.874994,-1.536466
9,31564.944,36089.053,47945.442,3,2.122010,7,3,0.000929,PURE,1.080,-1.385,-0.000000,81896600.000,-139270166.667,1178166.667,24.052392,15.749277,2.440902
10,12666.667,27446.918,30228.757,3,2.011691,7,3,0.001398,PURE,1.080,1.731,0.002034,63482733.333,-148573233.333,-420600.000,32.065108,11.839011,0.212051
11,28221.693,45934.103,53911.091,3,3.054552,8,3,0.001360,PURE,1.080,-13.159,0.001017,100011800.000,-126888400.000,-2082533.333,17.239010,30.265483,-1.565831
12,51092.509,38597.640,64032.978,3,2.012843,7,3,0.000660,PURE,1.082,-1.039,0.003039,62581966.667,-149266100.000,-268566.667,32.668648,14.877330,1.820367
13,29432.492,32395.702,43769.317,3,2.122010,7,3,0.001018,PURE,1.082,-1.385,-0.000000,82444666.667,-139296600.000,1211333.333,24.049643,15.830624,2.511002
14,55637.273,35767.424,66142.383,3,2.122010,7,3,0.000674,PURE,1.082,-1.731,-0.000000,82444800.000,-139279266.667,1225100.000,23.416363,15.942335,2.538243
15,24720.662,42549.318,49209.304,3,2.011691,7,3,0.000858,PURE,1.082,1.731,0.002026,63514066.667,-148888166.667,-433400.000,32.199686,11.896116,0.219174
16,54932.282,34185.767,64701.022,3,2.011691,7,3,0.000653,PURE,1.082,2.078,0.002026,63502433.333,-148892800.000,-434000.000,32.318645,11.564731,0.208428
17,28932.873,19765.289,35039.660,3,2.012843,7,3,0.001206,PURE,1.084,-1.039,0.003028,62571833.333,-149599800.000,-280133.333,32.817721,14.877580,1.861853
18,29531.318,29512.918,41750.582,3,2.122010,7,3,0.001067,PURE,1.084,-1.385,-0.000000,82990400.000,-139322933.333,1244400.000,24.047019,15.911721,2.580728
19,49113.625,29966.236,57533.672,3,2.122010,7,3,0.000775,PURE,1.084,-1.731,-0.000000,82990566.667,-139305633.333,1258133.333,23.416613,16.022807,2.607844
20,44862.754,58857.644,74006.006,3,2.011691,7,3,0.000571,PURE,1.084,1.731,0.002019,63545366.667,-149203033.333,-446233.333,32.334389,11.953221,0.226046
21,49066.848,39305.075,62868.469,3,2.011691,7,3,0.000672,PURE,1.084,2.078,0.002019,63533733.333,-149207700.000,-446800.000,32.453348,11.621712,0.215550
22,51181.594,28701.529,58679.923,3,2.012843,7,3,0.000720,PURE,1.086,-1.039,0.003017,62561666.667,-149933400.000,-291700.000,32.966545,14.877830,1.903464
23,38579.723,51831.636,64613.571,3,1.952232,8,3,0.000725,PURE,1.086,1.039,-0.000000,77106266.667,-142993200.000,-1996700.000,25.646213,12.616866,7.205871
24,31630.584,27612.844,41987.653,3,2.122010,7,3,0.001061,PURE,1.086,-1.385,-0.000000,83533833.333,-139349100.000,1277333.333,24.044520,15.992693,2.650079
25,32110.919,34573.593,47185.214,3,2.012843,7,3,0.000896,PURE,1.086,-1.385,0.003017,62582666.667,-149932566.667,-285700.000,33.095625,15.267445,1.949947
26,43248.350,24292.457,49603.863,3,2.122010,7,3,0.000898,PURE,1.086,-1.731,-0.000000,83534033.333,-139331900.000,1290966.667,23.416988,16.103154,2.677070
27,52355.622,50137.588,72490.612,3,2.011691,7,3,0.000583,PURE,1.086,2.078,0.002011,63565000.000,-149522466.667,-459633.333,32.588051,11.678692,0.222548
28,36676.766,52094.880,63710.766,3,1.952232,8,3,0.000735,PURE,1.088,1.039,-0.000000,77508333.333,-143115433.333,-2052133.333,25.573989,12.632735,7.407301
29,52270.663,40890.097,66364.314,3,2.122010,7,3,0.000671,PURE,1.088,-1.385,-0.000000,84075000.000,-139375233.333,1310100.000,24.042396,16.073040,2.719180
30,34847.109,27260.064,44242.876,3,2.122010,7,3,0.001007,PURE,1.088,-1.385,-0.000000,84075000.000,-139375233.333,1310100.000,24.042396,16.073040,2.719180
31,45232.732,33316.662,56178.288,3,2.012843,7,3,0.000752,PURE,1.088,-1.385,0.003006,62572466.667,-150266066.667,-297266.667,33.244198,15.267320,1.991308
32,38005.848,19349.929,42648.144,3,2.122010,7,3,0.001045,PURE,1.088,-1.731,-0.000000,84075200.000,-139358100.000,1323700.000,23.417363,16.183252,2.746171
33,35916.226,52768.303,63831.568,3,1.952232,8,3,0.000734,PURE,1.090,1.039,-0.000000,77909600.000,-143237433.333,-2107466.667,25.502513,12.648480,7.608481
34,39525.582,27987.652,48431.191,3,2.122010,7,3,0.000920,PURE,1.090,-1.385,-0.000000,84613933.333,-139401200.000,1342733.333,24.040271,16.153137,2.788031
35,50968.400,22120.880,55561.777,3,2.122010,7,3,0.000802,PURE,1.090,-1.731,-0.000000,84614133.333,-139384133.333,1356300.000,23.417988,16.262724,2.814772
36,33978.933,14747.253,37041.185,3,2.122010,7,3,0.001203,PURE,1.090,-1.731,-0.000000,84614133.333,-139384133.333,1356300.000,23.417988,16.262724,2.814772
37,35909.351,53949.222,64807.407,3,1.952232,8,3,0.000723,PURE,1.092,1.039,-0.000000,78310233.333,-143359233.333,-2162733.333,25.431413,12.663975,7.809161
38,45073.328,30041.946,54167.550,3,2.122010,7,3,0.000823,PURE,1.092,-1.385,-0.000000,85150666.667,-139427100.000,1375266.667,24.038397,16.232734,2.856632
39,30048.886,20027.964,36111.700,3,2.122010,7,3,0.001234,PURE,1.092,-1.385,-0.000000,85150666.667,-139427100.000,1375266.667,24.038397,16.232734,2.856632
40,31445.819,11695.731,33550.404,3,2.122010,7,3,0.001328,PURE,1.092,-1.731,-0.000000,85150900.000,-139410100.000,1388733.333,23.418737,16.342071,2.883373
41,20963.879,7797.154,22366.936,3,2.122010,7,3,0.001992,PURE,1.092,-1.731,-0.000000,85150900.000,-139410100.000,1388733.333,23.418737,16.342071,2.883373
42,46668.783,26000.739,53422.970,3,2.122010,7,3,0.000834,PURE,1.092,-2.078,-0.000000,85151633.333,-139393166.667,1402133.333,22.801452,16.451034,2.909864
43,53719.436,53773.186,76008.771,3,4.045219,8,3,0.001277,PURE,1.092,-3.117,0.000995,67982433.333,-148544100.000,-928966.667,27.117327,15.864237,-1.509226
44,22456.054,50787.381,55530.463,3,1.213891,88,2,0.003847,PURE,1.094,0.346,0.001982,49423566.667,-155777400.000,-8663900.000,30.902512,9.334506,2.147379
45,21431.871,55072.069,59095.329,3,1.213891,88,2,0.003615,PURE,1.094,0.693,0.001982,49423333.333,-155777233.333,-8664033.333,30.541762,8.874291,1.911711
46,36648.480,55771.137,66734.780,3,1.952232,8,3,0.000702,PURE,1.094,1.039,-0.000000,78710100.000,-143480800.000,-2217900.000,25.361187,12.679219,8.009592
47,50987.290,33371.830,60937.531,3,2.122010,7,3,0.000731,PURE,1.094,-1.385,-0.000000,85685266.667,-139452866.667,1407633.333,24.036648,16.312332,2.924859
48,33991.526,22247.886,40625.021,3,2.122010,7,3,0.001097,PURE,1.094,-1.385,-0.000000,85685266.667,-139452866.667,1407633.333,24.036648,16.312332,2.924859
49,30755.106,11784.065,32935.403,3,2.122010,7,3,0.001353,PURE,1.094,-1.731,-0.000000,85685500.000,-139435933.333,1421000.000,23.419487,16.421294,2.951349
50,20503.404,7856.044,21956.935,3,2.122010,7,3,0.002030,PURE,1.094,-1.731,-0.000000,85685500.000,-139435933.333,1421000.000,23.419487,16.421294,2.951349
51,64608.985,36300.529,74108.362,3,2.122010,7,3,0.000601,PURE,1.094,-2.078,-0.000000,85686200.000,-139419100.000,1434433.333,22.804826,16.529631,2.977965
52,43072.657,24200.353,49405.575,3,2.122010,7,3,0.000902,PURE,1.094,-2.078,-0.000000,85686200.000,-139419100.000,1434433.333,22.804826,16.529631,2.977965
53,20178.626,42803.792,47321.682,3,1.213891,88,2,0.004515,PURE,1.096,-0.000,0.001975,49116566.667,-156177633.333,-8865066.667,31.351856,9.729369,2.429906
54,21276.674,45994.692,50677.495,3,1.213891,88,2,0.004216,PURE,1.096,-0.346,0.001975,49116833.333,-156177800.000,-8864966.667,31.711106,10.187460,2.664324
55,19118.574,44438.518,48376.666,3,1.213891,88,2,0.004416,PURE,1.096,0.346,0.001975,49116333.333,-156177433.333,-8865200.000,30.992606,9.271028,2.195112
56,22603.155,52779.428,57415.770,3,1.213891,88,2,0.003721,PURE,1.096,-0.693,0.001975,49117066.667,-156178000.000,-8864833.333,32.070106,10.645426,2.898993
57,18322.518,50281.403,53515.737,3,1.213891,88,2,0.003992,PURE,1.096,0.693,0.001975,49116100.000,-156177233.333,-8865300.000,30.633231,8.812938,1.960319
58,23890.927,62553.264,66960.341,3,1.213891,88,2,0.003191,PURE,1.096,-1.039,0.001975,49117300.000,-156178266.667,-8864700.000,32.429107,11.103392,3.133536
59,38033.124,57860.624,69241.392,3,1.952232,8,3,0.000677,PURE,1.096,1.039,-0.000000,79109333.333,-143602133.333,-2272966.667,25.291462,12.694339,8.209772
60,57224.703,37089.149,68192.900,3,2.122010,7,3,0.000653,PURE,1.096,-1.385,-0.000000,86217766.667,-139478533.333,1439833.333,24.035023,16.391554,2.992835
61,38149.802,24726.099,45461.933,3,2.122010,7,3,0.000980,PURE,1.096,-1.385,-0.000000,86217766.667,-139478533.333,1439833.333,24.035023,16.391554,2.992835
62,31763.011,14398.217,34874.024,3,2.122010,7,3,0.001278,PURE,1.096,-1.731,-0.000000,86218033.333,-139461666.667,1453233.333,23.420487,16.499892,3.019326
63,21175.341,9598.811,23249.349,3,2.122010,7,3,0.001917,PURE,1.096,-1.731,-0.000000,86218033.333,-139461666.667,1453233.333,23.420487,16.499892,3.019326
64,60250.506,34611.067,69484.166,3,2.122010,7,3,0.000641,PURE,1.096,-2.078,-0.000000,86218733.333,-139444900.000,1466566.667,22.808200,16.607854,3.045817
65,40167.004,23074.044,46322.778,3,2.122010,7,3,0.000962,PURE,1.096,-2.078,-0.000000,86218733.333,-139444900.000,1466566.667,22.808200,16.607854,3.045817
66,34392.075,37951.236,51216.317,3,3.025938,9,3,0.001595,PURE,1.096,-7.965,-0.000000,81282166.667,-142392733.333,989266.667,20.836885,21.080300,-0.345880
67,17169.853,35707.699,39621.252,3,1.213891,88,2,0.005392,PURE,1.098,-0.000,0.001968,48810666.667,-156575966.667,-9065500.000,31.439950,9.664142,2.476265
68,18282.946,37958.898,42132.458,3,1.213891,88,2,0.005071,PURE,1.098,-0.346,0.001968,48810900.000,-156576166.667,-9065400.000,31.797576,10.120233,2.709808
69,16088.916,39027.970,42214.164,3,1.213891,88,2,0.005061,PURE,1.098,0.346,0.001968,48810433.333,-156575800.000,-9065666.667,31.082075,9.207800,2.242471
70,19453.155,45028.264,49050.686,3,1.213891,88,2,0.004356,PURE,1.098,-0.693,0.001968,48811100.000,-156576366.667,-9065266.667,32.155327,10.576450,2.943477
71,15206.670,46745.377,49156.618,3,1.213891,88,2,0.004346,PURE,1.098,0.693,0.001968,48810133.333,-156575566.667,-9065766.667,30.724199,8.751334,2.008927
