#clusternum,posRMS,velRMS,totRMS,pairnum,timespan,uniquepoints,obsnights,metric,rating,heliodist,heliovel,helioacc,posX,posY,posZ,velX,velY,velZ
1,20931.399,44076.253,48793.847,3,1.213891,88,2,0.004379,MIXED,1.100,0.000,0.001960,48506000.000,-156972666.667,-9265166.667,31.527545,9.598915,2.522374
2,13954.266,29384.168,32529.231,3,1.213891,88,2,0.006568,MIXED,1.100,0.000,0.001960,48506000.000,-156972666.667,-9265166.667,31.527545,9.598915,2.522374
3,1481.481,32407.556,32441.400,3,1.213891,88,2,0.006586,MIXED,1.110,0.000,0.001925,47000633.333,-158932700.000,-10251466.667,31.958395,9.274652,2.749045
4,74399.447,60312.842,95775.345,4,3.021240,9,4,0.001136,MIXED,1.140,6.926,0.001825,60271425.000,-159517425.000,19600.000,32.089037,4.840599,3.173460
5,43185.646,44764.128,62199.897,4,2.836762,10,4,0.001824,MIXED,1.150,3.463,0.001794,54872975.000,-162994225.000,-4076775.000,31.349981,7.080446,-5.528110
6,85233.900,46898.472,97284.554,5,3.021240,13,4,0.001615,MIXED,1.150,6.926,0.001794,60095040.000,-161197420.000,26360.000,32.678820,4.817076,3.472193
7,51929.083,24630.354,57474.202,4,1.868418,10,3,0.000975,MIXED,1.150,6.926,0.001794,60108750.000,-161193025.000,29250.000,32.704198,4.826729,3.477104
8,45504.880,29249.412,54094.567,3,1.272940,6,2,0.000282,MIXED,1.160,-3.463,0.001763,79185266.667,-154369400.000,505400.000,26.296987,17.160537,-3.665476
9,51299.412,46040.508,68930.095,4,2.836762,10,4,0.001646,MIXED,1.160,3.463,0.001763,54307175.000,-164763250.000,-4377075.000,31.771991,6.956270,-5.918912
10,47423.608,30324.446,56290.058,3,1.032411,8,2,0.000293,MIXED,1.160,6.926,0.001763,59932000.000,-162878333.333,43500.000,33.309800,4.777340,3.801179
11,34689.029,58163.029,67721.981,3,2.018930,6,3,0.000537,MIXED,1.170,-6.926,-0.000000,104557233.333,-140323466.667,2039933.333,16.500766,20.706180,-2.114640
12,46869.401,31106.349,56252.517,3,1.272940,6,2,0.000272,MIXED,1.170,-3.463,0.001733,80341466.667,-155470966.667,543933.333,26.398452,17.384084,-3.938756
13,31246.267,20737.566,37501.678,3,1.272940,6,2,0.000407,MIXED,1.170,-3.463,0.001733,80341466.667,-155470966.667,543933.333,26.398452,17.384084,-3.938756
14,37466.547,66635.713,76446.454,3,2.018930,6,3,0.000475,MIXED,1.180,-6.926,-0.000000,106912133.333,-140431466.667,2154500.000,16.649715,21.218627,-2.207233
15,24977.698,44423.809,50964.303,3,2.018930,6,3,0.000713,MIXED,1.180,-6.926,-0.000000,106912133.333,-140431466.667,2154500.000,16.649715,21.218627,-2.207233
16,29156.030,20739.418,35779.848,3,1.272940,6,2,0.000427,MIXED,1.180,-3.463,0.001704,81496433.333,-156571166.667,582366.667,26.500417,17.606382,-4.211662
17,29688.090,47492.516,56008.230,3,2.018930,6,3,0.000649,MIXED,1.190,-6.926,-0.000000,109238433.333,-140537966.667,2267666.667,16.788416,21.723452,-2.299201
18,19792.060,31661.677,37338.820,3,2.018930,6,3,0.000973,MIXED,1.190,-6.926,-0.000000,109238433.333,-140537966.667,2267666.667,16.788416,21.723452,-2.299201
19,23170.863,16638.495,28525.925,3,1.272940,6,2,0.000535,MIXED,1.190,-3.463,0.001675,82650133.333,-157670133.333,620833.333,26.602881,17.827305,-4.484567
20,32946.896,32110.919,46006.620,3,2.018930,6,3,0.000790,MIXED,1.200,-6.926,-0.000000,111537900.000,-140643000.000,2379500.000,16.917996,22.221653,-2.390045
21,21964.597,21407.279,30671.080,3,2.018930,6,3,0.001185,MIXED,1.200,-6.926,-0.000000,111537900.000,-140643000.000,2379500.000,16.917996,22.221653,-2.390045
22,35451.236,22779.675,42139.099,3,1.272940,6,2,0.000362,MIXED,1.200,-3.463,0.001647,83802733.333,-158767900.000,659233.333,26.705720,18.046979,-4.756972
