#clusternum,posRMS,velRMS,totRMS,pairnum,timespan,uniquepoints,obsnights,metric,rating,heliodist,heliovel,helioacc,posX,posY,posZ,velX,velY,velZ
1,16200.802,0.052,19086.322,3,2.018930,6,3,0.036541,PURE,1.410,-13.852,0.001193,155491360.000,-142465408.000,4482733.500,9.664517,30.939875,-4.373355
2,35452.371,0.290,40074.703,3,1.211289,36,2,0.007507,PURE,1.280,-6.926,0.001448,110171000.000,-152455808.000,-35426632.000,16.831902,22.622013,-9.342379
3,23262.090,0.875,27816.324,4,3.078762,11,4,0.005565,PURE,1.300,-6.926,-0.000000,50646848.000,-187448128.000,11353000.000,19.521997,13.271232,15.491492
4,43619.254,1.452,48575.551,4,8.953101,10,4,0.005077,PURE,1.300,10.389,-0.001404,122457672.000,-151000176.000,5058225.000,20.732170,3.123227,-9.491889
5,1481.481,2.732,32441.400,3,1.213891,88,2,0.002411,PURE,1.110,0.000,0.001925,47000632.000,-158932704.000,-10251467.000,31.958395,9.274652,2.749045
6,34496.277,1.418,45501.422,3,3.019283,13,3,0.001825,PURE,1.320,10.389,0.001361,50574500.000,-190848000.000,2938133.250,28.806490,-3.209260,-11.709431
7,42340.086,0.881,53820.184,3,2.135515,13,3,0.001756,PURE,1.240,3.463,0.001543,45966968.000,-179624400.000,5013433.500,29.230968,3.791807,-8.526537
8,24341.371,3.044,42343.656,4,4.998820,11,3,0.001280,PURE,1.370,3.463,-0.000000,71516448.000,-192079120.000,445950.000,24.396429,5.333178,10.805339
9,36802.664,3.215,50013.004,4,4.046788,10,4,0.001007,PURE,1.220,-6.926,0.001594,93248072.000,-156811680.000,4983200.000,23.386623,21.780119,-5.824164
10,44180.945,0.400,66439.445,3,2.027564,6,2,0.000916,PURE,1.350,6.926,-0.000000,88128064.000,-181644896.000,-4861566.500,23.799854,3.565761,8.872542
11,43185.645,2.325,62199.898,4,2.836762,10,4,0.000785,PURE,1.150,3.463,0.001794,54872976.000,-162994224.000,-4076775.000,31.349981,7.080446,-5.528110
12,11835.379,3.735,19641.275,3,2.278210,11,2,0.000683,PURE,1.470,-3.463,-0.001098,107979168.000,-191577072.000,1126833.375,14.091478,11.921857,-10.434499
13,39695.566,1.203,49602.234,3,2.032968,6,3,0.000613,PURE,1.310,-20.777,-0.000000,117164136.000,-157010592.000,-2104933.250,5.985420,30.023817,0.575800
14,85233.898,3.304,97284.555,5,3.021240,13,4,0.000489,PURE,1.150,6.926,0.001794,60095040.000,-161197424.000,26360.000,32.678822,4.817076,3.472193
15,42512.242,2.306,54403.410,3,2.125046,9,3,0.000457,PURE,1.240,-3.463,-0.000000,111309632.000,-147724896.000,13665300.000,13.564911,16.124397,14.836969
16,40973.016,3.240,54951.051,3,2.194083,9,3,0.000333,PURE,1.250,6.926,0.001518,59158232.000,-177366640.000,3703000.000,32.216557,3.295105,-4.078583
17,23634.156,3.579,28092.732,3,1.272940,6,2,0.000152,PURE,1.200,-3.463,0.001647,83802736.000,-158767904.000,659233.312,26.705721,18.046980,-4.756972
