#ptct,MJD,RA,Dec,idstring,mag,band,obscode,index1,index2,clusternum
0000,60875.287261,358.909365,2.047831,K16P08B,29.291,r,I11,510,667,1
0001,60875.313265,358.934865,2.053336,K16P08B,25.447,i,I11,511,674,1
0002,60876.275082,359.909898,2.256384,K16P08B,28.436,u,I11,576,772,1
0003,60876.275617,359.910435,2.256497,K16P08B,25.887,u,I11,577,773,1
0004,60877.282009,0.948678,2.468552,K16P08B,25.812,r,I11,657,883,1
0005,60877.306191,0.973312,2.473654,K16P08B,25.862,i,I11,658,893,1
0000,60878.182133,9.268478,-42.494346,K05M13M,19.004,g,I11,671,920,2
0001,60878.184128,9.271542,-42.495799,K05M13M,18.430,i,I11,672,921,2
0002,60878.184564,9.272212,-42.496117,K05M13M,18.323,i,I11,673,922,2
0003,60878.185000,9.272882,-42.496434,K05M13M,18.338,i,I11,674,923,2
0004,60878.185437,9.273553,-42.496753,K05M13M,18.389,i,I11,675,924,2
0005,60878.187357,9.276502,-42.498151,K05M13M,22.541,u,I11,676,925,2
0006,60878.187886,9.277314,-42.498536,K05M13M,22.443,u,I11,677,926,2
0007,60878.188416,9.278128,-42.498922,K05M13M,22.522,u,I11,678,927,2
0008,60878.188945,9.278940,-42.499308,K05M13M,22.361,u,I11,679,928,2
0009,60879.171189,10.810282,-43.183113,K05M13M,22.653,u,I11,748,1035,2
0010,60879.171718,10.811106,-43.183490,K05M13M,22.620,u,I11,749,1037,2
0011,60879.172246,10.811929,-43.183866,K05M13M,22.580,u,I11,751,1039,2
0012,60879.172775,10.812753,-43.184242,K05M13M,22.695,u,I11,753,1041,2
0013,60879.174963,10.816161,-43.185800,K05M13M,18.319,r,I11,755,1042,2
0014,60879.175399,10.816840,-43.186110,K05M13M,18.280,r,I11,757,1045,2
0015,60879.175836,10.817520,-43.186421,K05M13M,18.438,r,I11,759,1047,2
0016,60879.176271,10.818199,-43.186732,K05M13M,18.509,r,I11,761,1049,2
0017,60879.176708,10.818878,-43.187042,K05M13M,18.378,r,I11,763,1050,2
0018,60879.179064,10.822545,-43.188719,K05M13M,22.604,u,I11,764,1052,2
0019,60879.181211,10.825885,-43.190247,K05M13M,18.966,z,I11,765,1053,2
0020,60879.181646,10.826562,-43.190556,K05M13M,18.855,z,I11,766,1054,2
0021,60879.182082,10.827240,-43.190866,K05M13M,18.759,z,I11,767,1055,2
0022,60879.182519,10.827919,-43.191177,K05M13M,18.879,z,I11,769,1057,2
0023,60879.182956,10.828599,-43.191488,K05M13M,19.875,z,I11,771,1058,2
0024,60879.382170,11.134098,-43.331023,K05M13M,18.834,g,I11,782,1098,2
0025,60879.382606,11.134760,-43.331321,K05M13M,18.798,g,I11,783,1099,2
0026,60879.383044,11.135426,-43.331621,K05M13M,18.809,g,I11,785,1102,2
0027,60879.383480,11.136091,-43.331921,K05M13M,18.877,g,I11,787,1103,2
0028,60879.385656,11.139401,-43.333411,K05M13M,22.272,u,I11,789,1106,2
0029,60879.386185,11.140205,-43.333773,K05M13M,22.329,u,I11,791,1107,2
