#MJD,RA,Dec,observerX,observerY,observerZ,stringID,mag,band,obscode,origindex
60867.0434532,260.1544288,-19.3163489,48647891.574,-144085103.020,7508.996,5,21.500,z,I11,7
60867.0439104,260.1540813,-19.3156291,48648999.766,-144084739.764,7512.643,6,21.500,z,I11,8
60867.0443840,260.1537225,-19.3148856,48650147.595,-144084363.478,7516.405,7,27.638,z,I11,9
60867.0448413,260.1533757,-19.3141673,48651256.142,-144084000.035,7520.023,8,21.512,z,I11,10
60867.0505273,257.8676313,-25.9848189,48665040.552,-144079477.807,7563.754,9,21.500,z,I11,11
60867.0509850,257.8688455,-25.9848951,48666150.535,-144079113.418,7567.173,10,21.500,z,I11,12
60867.1428216,251.8445807,-27.4248337,48889114.473,-144005064.586,7914.361,18,19.228,z,I11,20
60867.1432805,251.8455355,-27.4244920,48890229.183,-144004689.595,7914.301,19,19.075,z,I11,21
60867.1617249,333.8995687,-12.8957442,48935030.106,-143989575.192,7896.732,20,18.363,z,I11,22
60867.2390623,334.0187506,-12.7720893,49122640.871,-143925333.691,7512.420,54,18.748,z,I11,56
60867.1983238,350.3841276,-6.8108840,49023880.732,-143959343.762,7775.402,25,19.525,z,I11,27
60867.2546297,350.4464043,-6.8330152,49160324.403,-143912244.662,7379.522,57,19.642,z,I11,59
60867.1983238,351.7307106,-5.4256964,49023880.732,-143959343.762,7775.402,24,24.919,z,I11,26
60867.2546297,351.7571027,-5.3732148,49160324.403,-143912244.662,7379.522,58,25.558,z,I11,60
60867.2550880,350.4469087,-6.8331952,49161433.300,-143911858.578,7375.359,60,19.639,z,I11,62
60867.2550880,351.7573134,-5.3727877,49161433.300,-143911858.578,7375.359,59,24.119,z,I11,61
60867.1997898,346.7431277,1.1383245,49027437.640,-143958126.318,7768.206,26,20.814,z,I11,28
60867.2119098,346.7385259,1.1552035,49056837.020,-143948042.257,7702.056,36,20.770,z,I11,38
60867.2123671,346.7383514,1.1558401,49057945.836,-143947661.185,7699.331,37,20.821,z,I11,39
60867.2816020,346.7111861,1.2523789,49225524.512,-143889456.884,7111.998,81,20.292,z,I11,83
