detid,mjd,ra,dec,mag,band1,obscode,ObjID
0,60866.99720128285,241.86790019739163,-21.00909339854104,19.15654876400665,z,I11,K25M90A
1,60866.99811365454,239.3993648859233,-24.44402435150212,18.718264925964235,z,I11,K18B06Y
2,60866.99811365454,240.7955688563561,-22.796268383986767,21.5,z,I11,K24A01Q
3,60866.99811365454,239.1928005813924,-24.12923510516975,23.356862395796615,z,I11,K25M89G
4,60866.998584337925,242.86357744546865,-24.023621530780872,19.99942754145949,z,I11,K25J01G
5,60867.0434532144,260.1544288127021,-19.316348916571823,21.5,z,I11,K25O04L
6,60867.0439104197,260.1540813306925,-19.31562906764074,21.5,z,I11,K25O04L
7,60867.04438396735,260.1537224523549,-19.314885629123832,27.638453399162398,z,I11,K25O04L
8,60867.04484129885,260.15337569843143,-19.314167325340524,21.51248389805051,z,I11,K25O04L
9,60867.05052725336,257.86763126325684,-25.98481888803716,21.5,z,I11,K25O07Y
10,60867.050985048096,257.8688454767663,-25.984895098443765,21.5,z,I11,K25O07Y
11,60867.05371017553,245.69871767511648,-16.162317485791853,20.21187944716153,z,I11,K25M92E
12,60867.05659139965,257.2021588840296,-19.92260741377756,21.5,z,I11,K25O01N
13,60867.0996096235,241.26742280104423,-21.11366284400535,18.676156722020608,z,I11,K25M90A
14,60867.1133680498,240.636328195035,-22.68997419319374,24.164404042667737,z,I11,K24A01Q
15,60867.1133680498,239.06092462259417,-24.14272370861216,21.420527036296143,z,I11,K18B06Y
16,60867.1133680498,238.88991261797088,-24.052829720765622,21.5,z,I11,K25M89G
17,60867.12780902828,242.9866948739448,-24.19034836942585,19.774450813159923,z,I11,K25J01G
18,60867.142821631525,251.8445806675641,-27.42483366856536,19.227526806895337,z,I11,K25F23V
19,60867.14328051693,251.8455354669008,-27.42449202058897,19.07536998359727,z,I11,K25F23V
20,60867.16172493424,333.89956865997647,-12.895744230128871,18.362703069670147,z,I11,K12O00Q
21,60867.16435370475,343.05321076853016,-13.0163326656735,18.76100801210699,z,I11,K24A04W
22,60867.17244998134,329.4521134314619,-8.698663979337272,20.671230111256826,z,I11,K25O02D
23,60867.18700441221,258.2290116829015,-26.0027681429475,21.5,z,I11,K25O07Y
24,60867.19832381072,351.73071058027983,-5.425696407351768,24.919397947866315,z,I11,K25O13V
25,60867.19832381072,350.38412760861416,-6.810883959872305,19.52460060089978,z,I11,K02A31V
26,60867.19978978099,346.74312766604925,1.1383245246746208,20.81401683477821,z,I11,K25N01V
27,60867.20042877372,355.7034669904415,-14.075827119186464,19.19202229383628,z,I11,K22M03A
28,60867.20042877372,355.2406581622364,-12.63359039901047,20.38922148668968,z,I11,K05O00X
29,60867.20089050902,356.68025684310936,-9.953694777178466,19.21727733658154,z,I11,K08A04F
30,60867.20089050902,355.24122816041523,-12.633346715228924,20.278502616408296,z,I11,K05O00X
31,60867.20429257884,353.3319132256462,-3.056007458074207,21.739284924082494,z,I11,K20B05A
32,60867.20693667607,354.4530083181743,0.1698526172349438,21.5,z,I11,K18B01J
33,60867.20693667607,353.89217997890364,-0.8152007694719845,22.32099122773362,z,I11,K25N02Y
34,60867.20745065743,356.6885817714622,-9.953602814015545,19.224199164470203,z,I11,K08A04F
35,60867.207925342445,355.10938468996324,-1.4541294290336344,19.62838749239298,z,I11,K25L00F
36,60867.21190984493,346.7385259041427,1.1552035454288416,20.770012223923278,z,I11,K25N01V
37,60867.2123670789,346.738351393413,1.155840113581562,20.82070302650321,z,I11,K25N01V
38,60867.21419200119,339.2103605443227,-5.71942956756569,21.24532349660335,z,I11,K22Y06N
39,60867.214664708925,330.14396719907074,-13.136470773430124,20.352068402959336,z,I11,K25N00E
40,60867.21975088841,355.26446855984784,-12.623387340161807,19.722741457851452,z,I11,K05O00X
41,60867.21975088841,355.7644074564658,-13.967687909005674,19.203369786896506,z,I11,K22M03A
42,60867.2201879924,355.26500642073404,-12.623156297913138,19.80534549819413,z,I11,K05O00X
43,60867.2201879924,355.7657791990932,-13.96524102021046,19.63217385850604,z,I11,K22M03A
44,60867.220645200665,355.2655688681186,-12.62291466778414,19.626912801085965,z,I11,K05O00X
45,60867.220645200665,356.7053037411328,-9.953415573916573,19.001405449577405,z,I11,K08A04F
46,60867.22108158529,356.70585710650465,-9.953409315942556,18.989346260319817,z,I11,K08A04F
47,60867.22108158529,355.26610667216266,-12.622683599159592,19.787076729347334,z,I11,K05O00X
48,60867.228771514885,3.743555261774635,-0.3017613368969313,22.956560904162632,z,I11,K20X02O
49,60867.22981424252,353.9501785313288,-0.7901815393732272,22.84316925706865,z,I11,K25N02Y
50,60867.22981424252,354.52271481504783,0.2059130832160128,21.5,z,I11,K18B01J
51,60867.23033587259,356.717568239388,-9.9532758746697,19.40372744341806,z,I11,K08A04F
52,60867.23077773936,356.7181272686555,-9.953269455579443,19.429706414484265,z,I11,K08A04F
53,60867.23455750483,0.8840427081845588,4.620161214693901,21.5,z,I11,K21T13V
54,60867.23906225369,334.01875057339964,-12.772089324396775,18.74845039596084,z,I11,K12O00Q
55,60867.24192464088,330.1772673067236,-13.180066538984178,21.010929697183137,z,I11,K25N00E
56,60867.24300089078,339.1351665789184,-18.45292046286559,20.446553186237377,z,I11,K25M91V
57,60867.25462970081,350.4464043301736,-6.833015242304416,19.641879085559125,z,I11,K02A31V
58,60867.25462970081,351.75710269823264,-5.37321478982614,25.558285779948804,z,I11,K25O13V
59,60867.25508802342,351.7573134202432,-5.372787749095551,24.11908735363977,z,I11,K25O13V
60,60867.25508802342,350.4469086595923,-6.833195235102523,19.639392332393623,z,I11,K02A31V
61,60867.25554947891,355.2370305441338,-1.4699786020486094,19.91188925884255,z,I11,K25L00F
62,60867.25600776806,355.2382453067575,-1.470130671946189,20.032453071874805,z,I11,K25L00F
63,60867.25647144779,353.35873047090814,-3.010018935927892,22.039392670578103,z,I11,K20B05A
64,60867.25692885797,353.35896104337,-3.0096157629167,22.964824410565285,z,I11,K20B05A
65,60867.25738953833,354.0196342038976,-0.76003365812065,21.5,z,I11,K25N02Y
66,60867.25738953833,354.6066458240669,0.2494650592069973,21.5,z,I11,K18B01J
67,60867.25784694459,354.02078137921865,-0.75953413089719,21.5,z,I11,K25N02Y
68,60867.25784694459,354.6080360940835,0.2501875938421206,21.5,z,I11,K18B01J
69,60867.25834255485,3.8071773392203214,-0.2809380965134608,21.5,z,I11,K20X02O
70,60867.26036123876,355.24977970087565,-1.4715756413680603,20.46209730316156,z,I11,K25L00F
71,60867.260819561336,355.2509947737005,-1.4717279672610133,20.61806707600745,z,I11,K25L00F
72,60867.26222001844,355.25469952042016,-1.4721925324147604,20.871659029408896,z,I11,K25L00F
73,60867.26267733583,355.25590841491487,-1.4723441649020894,25.342319371191262,z,I11,K25L00F
74,60867.26313888251,0.9183934313721216,4.634877950475207,21.5,z,I11,K21T13V
75,60867.26313888251,359.72702410212594,2.9055479598466625,18.805020179352997,z,I11,K20B01Y
76,60867.2635973374,359.72754787854115,2.905863942959102,17.06691745881603,z,I11,K20B01Y
77,60867.2635973374,0.9189431651835084,4.6351137655668815,23.538850637633992,z,I11,K21T13V
78,60867.27308537573,329.2371103545853,-8.67419924958989,21.5,z,I11,K25O02D
79,60867.27355580979,326.59929165603745,-11.76140297958764,20.23384047080657,z,I11,K25M01G
80,60867.279365956536,353.1517701484822,1.9800404564708467,19.893967587667483,z,I11,K19O00J
81,60867.28160204416,346.71118608097385,1.2523789332557196,20.291986802157204,z,I11,K25N01V
82,60867.28205835004,346.7110030689706,1.253015396021022,20.341868091143525,z,I11,K25N01V
83,60867.293837315694,355.3553210270588,-12.584016569460898,21.00547078810795,z,I11,K05O00X
84,60867.29429681023,355.35588350745223,-12.583770750548709,20.91662939208944,z,I11,K05O00X
85,60867.29476169351,355.99614410991967,-13.54682294993638,19.456116503199222,z,I11,K22M03A
86,60867.29476169351,355.3564520877961,-12.583522241556054,20.964214733210508,z,I11,K05O00X
87,60867.29522016187,355.99753898818943,-13.54424748273016,19.800592088562897,z,I11,K22M03A
88,60867.29522016187,355.35701209515906,-12.583277455766776,21.06971246775693,z,I11,K05O00X
89,60867.2956937506,356.7999513841452,-9.952271621449512,19.315009916570148,z,I11,K08A04F
90,60867.29615096907,356.80052578487783,-9.952264153228352,19.210292723048227,z,I11,K08A04F
91,60867.29662125088,356.80111650732823,-9.952256465364655,19.284812655573788,z,I11,K08A04F
92,60867.2970797185,356.80169338616054,-9.9522489503805,19.22723779566431,z,I11,K08A04F
93,60867.297906824606,339.31550074625585,-5.6731957589575694,21.5,z,I11,K22Y06N
94,60867.30298011372,3.902775197164062,-0.2494746111847382,28.22686534448419,z,I11,K20X02O
95,60867.30343849526,3.903755929792714,-0.2491508813940782,25.74570484210534,z,I11,K20X02O
96,60867.304823184415,0.96834711837678,4.656336875419228,21.5,z,I11,K21T13V
97,60867.30528046232,0.9688951965957882,4.656572608207324,21.5,z,I11,K21T13V
98,60867.3185426501,4.08035708544424,5.122990359957366,23.57165232061196,z,I11,K23Y01O
99,60867.31899768378,7.108381215822293,6.219024250447861,24.49394566207814,z,I11,K14QT5O
100,60867.319439577725,6.051481455037965,3.465080580005443,26.403841430101693,z,I11,K22O02O
101,60867.319439577725,7.342720975951868,3.528812899412744,21.5,z,I11,K16C29N
102,60867.319895617096,8.696364281532666,2.942275874303004,21.836354966335023,z,I11,K18B05J
103,60867.319895617096,7.34325802571645,3.5291169113165983,27.1522759842548,z,I11,K16C29N
104,60867.32035066445,10.46880508876614,3.802729652171657,21.5,z,I11,K06D00L
105,60867.32216867061,7.362103834363181,14.239688760644247,21.5,z,I11,K11Q08X
106,60867.32261048703,4.691977528612768,14.597154340503389,21.5,z,I11,K18B01V
107,60867.32261048703,5.250086645519162,15.067078711574414,21.5,z,I11,K21P23L
108,60867.326527629935,334.15196031897244,-12.629607055876304,18.680663633010603,z,I11,K12O00Q
