#MJD,RA,Dec,observerX,observerY,observerZ,stringID,mag,band,obscode,origindex
60795.0339792,188.2065481,6.1659533,-116122460.333,-96034143.910,2278.102,0,20.252,r,I11,2
60795.0354484,188.2067502,6.1677321,-116120128.022,-96037116.360,2297.305,1,20.311,r,I11,3
60795.0711463,188.2115414,6.2109362,-116063294.570,-96109360.475,2779.458,2,20.429,r,I11,4
60795.0929710,188.2143923,6.2373277,-116028391.559,-96153530.398,3082.336,3,20.376,r,I11,5
60795.1548936,188.2224665,6.3121051,-115928713.283,-96278730.304,3918.915,4,20.825,g,I11,6
60795.1665593,188.2240266,6.3261745,-115909830.854,-96302279.841,4065.449,5,20.786,g,I11,7
60795.1675466,188.2241598,6.3273659,-115908231.290,-96304272.245,4077.610,6,20.901,g,I11,8
60795.1971671,188.2282459,6.3630665,-115860143.386,-96363985.690,4421.917,7,24.199,u,I11,9
60795.2031209,188.2290926,6.3702389,-115850455.106,-96375973.025,4485.738,8,23.794,u,I11,10
60795.2048918,188.2293464,6.3723721,-115847572.083,-96379537.418,4504.336,9,25.563,u,I11,11
60795.2230651,210.2125449,-7.1603570,-115817950.623,-96416086.277,4684.354,10,19.607,g,I11,12
60795.2235467,210.2133761,-7.1610690,-115817164.740,-96417054.144,4688.844,11,19.446,g,I11,13
60795.2240361,210.2142195,-7.1617913,-115816366.134,-96418037.585,4693.391,12,19.479,g,I11,14
60795.2245211,210.2150561,-7.1625077,-115815574.797,-96419011.980,4697.882,13,19.278,g,I11,15
60795.2250047,210.2158911,-7.1632225,-115814785.554,-96419983.703,4702.345,14,19.574,g,I11,16
60795.2254919,210.2167313,-7.1639418,-115813990.408,-96420962.600,4706.825,15,20.017,g,I11,17
60795.2264553,210.2183931,-7.1653641,-115812418.044,-96422898.044,4715.639,16,20.565,g,I11,18
60795.2269363,210.2192232,-7.1660745,-115811632.878,-96423864.377,4720.017,17,20.805,g,I11,19
60795.2274276,210.2200725,-7.1668010,-115810830.819,-96424851.406,4724.473,18,20.990,g,I11,20
60795.2279454,210.2209650,-7.1675645,-115809985.508,-96425891.559,4729.152,19,20.487,g,I11,21
60795.2284293,210.2218006,-7.1682792,-115809195.569,-96426863.479,4733.508,20,20.145,g,I11,22
60795.2289176,210.2226450,-7.1690013,-115808398.372,-96427844.235,4737.888,21,20.026,g,I11,23
60795.2298842,210.2243133,-7.1704277,-115806820.173,-96429785.546,4746.511,22,19.931,g,I11,24
60795.2308505,210.2259838,-7.1718555,-115805242.121,-96431726.305,4755.070,23,19.506,g,I11,25
60795.2318161,210.2276512,-7.1732803,-115803665.271,-96433665.217,4763.558,24,19.349,g,I11,26
60795.2323010,210.2284894,-7.1739963,-115802873.365,-96434638.814,4767.797,25,19.256,g,I11,27
60795.2327924,210.2293380,-7.1747212,-115802070.712,-96435625.529,4772.077,26,19.241,g,I11,28
60795.2337518,210.2309976,-7.1761384,-115800503.653,-96437551.667,4780.385,27,19.873,g,I11,29
60795.2342293,210.2318224,-7.1768425,-115799723.591,-96438510.338,4784.496,28,19.940,g,I11,30
60795.2347242,210.2326784,-7.1775732,-115798915.045,-96439503.921,4788.741,29,20.564,g,I11,31
60795.2352058,210.2335120,-7.1782847,-115798128.195,-96440470.750,4792.856,30,21.500,g,I11,32
60795.2357274,210.2344132,-7.1790538,-115797276.145,-96441517.590,4797.294,31,20.177,g,I11,33
60795.2362137,210.2352557,-7.1797726,-115796481.474,-96442493.836,4801.415,32,19.847,g,I11,34
60795.2366980,210.2360931,-7.1804870,-115795690.218,-96443465.795,4805.502,33,19.567,g,I11,35
60795.2415779,210.2445428,-7.1876886,-115787714.286,-96453258.106,4845.776,34,20.088,i,I11,36
60795.2425609,210.2462463,-7.1891390,-115786107.198,-96455230.057,4853.685,35,20.442,i,I11,37
60795.2430491,210.2470922,-7.1898590,-115785309.012,-96456209.317,4857.587,36,20.227,i,I11,38
60795.2435341,210.2479330,-7.1905746,-115784516.075,-96457182.047,4861.447,37,19.653,i,I11,39
60795.2440171,210.2487704,-7.1912872,-115783726.257,-96458150.860,4865.274,38,19.421,i,I11,40
60795.2445044,210.2496149,-7.1920057,-115782929.333,-96459128.297,4869.119,39,19.138,i,I11,41
60795.2449871,210.2504526,-7.1927182,-115782140.064,-96460096.255,4872.909,40,19.003,i,I11,42
60795.2454731,210.2512956,-7.1934352,-115781345.149,-96461071.047,4876.710,41,19.108,i,I11,43
60795.2464846,210.2530514,-7.1949281,-115779690.823,-96463099.427,4884.564,42,19.278,i,I11,44
60795.2469706,210.2538947,-7.1956450,-115778896.047,-96464073.766,4888.311,43,19.460,i,I11,45
60795.2474549,210.2547348,-7.1963589,-115778103.771,-96465044.951,4892.029,44,19.391,i,I11,46
60795.2479402,210.2555767,-7.1970743,-115777310.017,-96466017.855,4895.736,45,19.136,i,I11,47
60795.2484297,210.2564274,-7.1977970,-115776509.115,-96466999.430,4899.459,46,19.084,i,I11,48
60795.2498774,210.2589404,-7.1999312,-115774140.753,-96469901.525,4910.365,47,19.974,i,I11,49
60795.2503558,210.2597725,-7.2006376,-115773358.053,-96470860.437,4913.935,48,20.109,i,I11,50
60795.2508419,210.2606169,-7.2013544,-115772562.588,-96471834.899,4917.546,49,20.029,i,I11,51
60795.2513314,210.2614667,-7.2020755,-115771761.699,-96472815.913,4921.164,50,25.706,i,I11,52
60795.2518131,210.2623044,-7.2027863,-115770973.433,-96473781.376,4924.707,51,19.158,i,I11,53
60795.2528081,210.2640342,-7.2042536,-115769345.204,-96475775.340,4931.971,52,18.899,i,I11,54
60795.2543139,210.2666533,-7.2064743,-115766880.600,-96478792.829,4942.824,53,19.192,i,I11,55
60795.2567359,210.2708683,-7.2100452,-115762915.882,-96483645.149,4959.924,54,20.048,r,I11,56
60795.2572402,210.2717459,-7.2107882,-115762090.228,-96484655.367,4963.429,55,20.276,r,I11,57
60795.2623665,210.2806815,-7.2183456,-115753695.641,-96494921.030,4997.959,56,19.140,r,I11,58
60795.2628684,210.2815556,-7.2190840,-115752873.588,-96495925.783,5001.232,57,19.349,r,I11,59
60795.2638277,210.2832308,-7.2204987,-115751302.141,-96497846.221,5007.433,58,19.439,r,I11,60
60795.2647939,210.2849171,-7.2219223,-115749719.356,-96499780.169,5013.606,59,19.524,r,I11,61
60795.2652784,210.2857623,-7.2226355,-115748925.663,-96500749.825,5016.674,60,24.987,r,I11,62
60795.2662652,210.2874862,-7.2240900,-115747308.789,-96502724.890,5022.868,61,19.958,r,I11,63
60795.2667443,210.2883230,-7.2247958,-115746523.878,-96503683.557,5025.847,62,19.813,r,I11,64
60795.2672286,210.2891705,-7.2255104,-115745730.394,-96504652.608,5028.840,63,19.421,r,I11,65
60795.2677144,210.2900182,-7.2262250,-115744934.226,-96505624.849,5031.825,64,19.170,r,I11,66
60795.2681955,210.2908590,-7.2269337,-115744145.941,-96506587.379,5034.762,65,18.963,r,I11,67
60795.2687036,210.2917489,-7.2276836,-115743313.242,-96507604.048,5037.844,66,18.791,r,I11,68
60795.2696705,210.2934400,-7.2291083,-115741728.767,-96509538.324,5043.654,67,18.639,r,I11,69
60795.2716373,210.2968802,-7.2320046,-115738505.086,-96513472.635,5055.244,68,20.117,r,I11,70
60795.2721258,210.2977363,-7.2327249,-115737704.340,-96514449.679,5058.075,69,20.456,r,I11,71
60795.2726344,210.2986258,-7.2334733,-115736870.647,-96515466.833,5061.003,70,20.360,r,I11,72
60795.2731281,210.2994909,-7.2342009,-115736061.376,-96516454.100,5063.825,71,20.174,r,I11,73
60795.2736431,210.3003931,-7.2349595,-115735217.142,-96517483.926,5066.748,72,20.000,r,I11,74
60795.2741803,210.3013339,-7.2357505,-115734336.421,-96518558.158,5069.774,73,19.699,r,I11,75
60795.2751462,210.3030269,-7.2371733,-115732752.843,-96520489.417,5075.158,74,24.354,r,I11,76
60795.2756596,210.3039280,-7.2379303,-115731910.952,-96521516.011,5077.990,75,18.990,r,I11,77
60795.2766271,210.3056237,-7.2393545,-115730324.658,-96523450.067,5083.268,76,18.761,r,I11,78
60795.2771104,210.3064710,-7.2400658,-115729532.102,-96524416.248,5085.877,77,18.751,r,I11,79
60795.2775916,210.3073166,-7.2407757,-115728743.064,-96525378.058,5088.455,78,18.885,r,I11,80
60795.2780753,210.3081642,-7.2414870,-115727949.829,-96526344.902,5091.029,79,19.095,r,I11,81
60795.2785572,210.3090102,-7.2421968,-115727159.438,-96527308.194,5093.574,80,19.524,r,I11,82
60795.2790407,210.3098599,-7.2429095,-115726366.531,-96528274.471,5096.108,81,19.683,r,I11,83
60795.2795208,210.3107027,-7.2436163,-115725579.174,-96529233.900,5098.606,82,19.640,r,I11,84
60795.2800480,210.3116282,-7.2443923,-115724714.524,-96530287.421,5101.327,83,19.287,r,I11,85
60795.2810116,210.3133217,-7.2458118,-115723134.017,-96532212.915,5106.243,84,19.428,r,I11,86
60795.2814902,210.3141617,-7.2465156,-115722348.954,-96533169.216,5108.657,85,19.489,r,I11,87
60795.2819992,210.3150563,-7.2472650,-115721514.078,-96534186.106,5111.203,86,19.330,r,I11,88
60795.2825136,210.3159617,-7.2480233,-115720670.246,-96535213.812,5113.755,87,19.339,r,I11,89
60795.2835207,210.3177326,-7.2495059,-115719018.096,-96537225.702,5118.689,88,19.156,r,I11,90
60795.2840236,210.3186174,-7.2502464,-115718193.026,-96538230.290,5121.122,89,18.972,r,I11,91
60795.2845030,210.3194602,-7.2509516,-115717406.506,-96539187.858,5123.422,90,18.810,r,I11,92
60795.2859979,210.3220918,-7.2531524,-115714953.794,-96542173.457,5130.472,91,19.132,r,I11,93
60795.2875025,210.3247427,-7.2553678,-115712484.909,-96545177.958,5137.383,92,20.413,r,I11,94
60795.2879888,210.3255990,-7.2560832,-115711686.820,-96546149.022,5139.577,93,20.298,r,I11,95
60795.2904417,210.3299243,-7.2596936,-115707661.314,-96551045.759,5150.344,94,19.827,g,I11,96
60795.2909277,210.3307818,-7.2604089,-115706863.570,-96552015.911,5152.418,95,19.725,g,I11,97
60795.2987769,210.3446566,-7.2719586,-115693977.588,-96567675.730,5183.187,96,19.727,g,I11,98
60795.2992933,210.3455705,-7.2727177,-115693129.674,-96568705.442,5185.030,97,19.676,g,I11,99
60795.2998032,210.3464740,-7.2734680,-115692292.360,-96569722.196,5186.828,98,19.721,g,I11,100
60795.3003094,210.3473724,-7.2742139,-115691460.965,-96570731.676,5188.591,99,19.905,g,I11,101
60795.3008118,210.3482621,-7.2749524,-115690636.023,-96571733.237,5190.319,100,19.817,g,I11,102
60795.3013160,210.3491556,-7.2756939,-115689807.952,-96572738.515,5192.033,101,19.901,g,I11,103
60795.3018209,210.3500510,-7.2764367,-115688978.695,-96573745.147,5193.727,102,20.140,g,I11,104
60795.3023469,210.3509840,-7.2772105,-115688114.881,-96574793.640,5195.469,103,20.294,g,I11,105
60795.3028482,210.3518728,-7.2779475,-115687291.566,-96575792.891,5197.107,104,20.905,g,I11,106
60795.3033523,210.3527671,-7.2786888,-115686463.576,-96576797.734,5198.733,105,20.637,g,I11,107
60795.3038343,210.3536226,-7.2793978,-115685671.896,-96577758.433,5200.267,106,20.395,g,I11,108
60795.3043357,210.3545138,-7.2801362,-115684848.367,-96578757.701,5201.843,107,20.211,g,I11,109
60795.3048175,210.3553679,-7.2808437,-115684056.963,-96579717.912,5203.336,108,19.914,g,I11,110
60795.3053270,210.3562737,-7.2815939,-115683219.945,-96580733.384,5204.894,109,19.800,g,I11,111
60795.3063390,210.3580719,-7.2830823,-115681557.646,-96582749.841,5207.923,110,19.660,g,I11,112
60795.3068239,210.3589339,-7.2837956,-115680761.036,-96583716.054,5209.344,111,19.701,g,I11,113
60795.3078363,210.3607333,-7.2852840,-115679097.924,-96585733.010,5212.245,112,19.988,g,I11,114
60795.3083246,210.3616031,-7.2860032,-115678295.599,-96586705.920,5213.613,113,19.783,g,I11,115
60795.3088272,210.3624962,-7.2867414,-115677469.881,-96587707.118,5215.000,114,19.852,g,I11,116
60795.3093339,210.3633985,-7.2874870,-115676637.450,-96588716.374,5216.376,115,20.058,g,I11,117
60795.3098461,210.3643099,-7.2882400,-115675796.003,-96589736.478,5217.745,116,20.408,g,I11,118
60797.0227856,188.6564936,8.5870869,-112875176.358,-99942183.736,2405.094,117,19.943,i,I11,119
60797.0237553,188.6566678,8.5882812,-112873574.092,-99944090.175,2417.630,118,20.060,i,I11,120
60797.0252147,188.6569299,8.5900806,-112871162.467,-99946959.210,2436.554,119,19.867,i,I11,121
60797.0276273,188.6573618,8.5930531,-112867174.428,-99951702.555,2467.987,120,19.990,i,I11,122
60797.0300970,188.6578028,8.5960967,-112863090.612,-99956558.374,2500.348,121,19.898,i,I11,123
60797.0334971,188.6584075,8.6002857,-112857465.977,-99963243.852,2545.193,122,20.097,i,I11,124
60797.0349599,188.6586670,8.6020881,-112855045.222,-99966120.295,2564.586,123,20.060,i,I11,125
60797.0374841,188.6591136,8.6051972,-112850866.859,-99971083.931,2598.184,124,19.998,i,I11,126
60797.0384617,188.6592863,8.6064019,-112849248.201,-99973006.359,2611.240,125,20.019,i,I11,127
60797.0398995,188.6595399,8.6081730,-112846867.233,-99975833.712,2630.485,126,19.972,i,I11,128
60797.0408561,188.6597083,8.6093504,-112845282.701,-99977715.014,2643.319,127,19.973,i,I11,129
60797.0423208,188.6599660,8.6111546,-112842856.336,-99980595.355,2663.009,128,20.087,i,I11,130
60797.0433082,188.6601394,8.6123701,-112841220.211,-99982537.282,2676.311,129,19.934,i,I11,131
60797.0447990,188.6604009,8.6142061,-112838749.651,-99985469.114,2696.436,130,19.995,i,I11,132
