image_id,visit,detector,band
1379,2025071500140,184,r_57
1376,2025071600135,171,r_57
1377,2025071600129,118,r_57
1381,2025071600128,80,r_57
1378,2025071500155,175,r_57
1380,2025071600126,125,r_57
1385,2025071600121,141,r_57
1384,2025071600124,180,r_57
1388,2025071600149,130,g_6
1387,2025071600136,130,r_57
1392,2025071600175,106,g_6
1395,2025071600160,129,g_6
1391,2025071600157,169,g_6
1393,2025071600144,166,r_57
1389,2025071600127,127,r_57
1383,2025071600147,181,g_6
1397,2025071600148,173,g_6
1399,2025071600173,153,g_6
1386,2025071600123,183,r_57
1390,2025071600176,140,g_6
1382,2025071600152,129,g_6
1407,2025071600255,23,g_6
1402,2025071600226,155,i_39
1394,2025071600161,139,g_6
1401,2025071600249,67,g_6
1396,2025071600220,148,i_39
1404,2025071600227,58,i_39
1398,2025071600218,114,i_39
1400,2025071600219,105,i_39
1410,2025071600254,160,g_6
1405,2025071600236,66,i_39
1406,2025071600221,149,i_39
1408,2025071600239,17,g_6
1419,2025071600270,15,r_57
1409,2025071600244,146,g_6
1414,2025071600252,107,g_6
1403,2025071600213,100,i_39
1413,2025071600228,103,i_39
1417,2025071600253,53,g_6
1415,2025071600259,158,g_6
1418,2025071600267,60,g_6
1420,2025071600265,59,g_6
1412,2025071600240,54,g_6
1411,2025071600241,106,g_6
1416,2025071600264,114,g_6
1424,2025071600272,108,r_57
1421,2025071600275,113,r_57
1422,2025071600271,8,r_57
1423,2025071600269,19,r_57
1428,2025071600279,60,r_57
1429,2025071600278,99,r_57
1433,2025071600302,21,u_24
1425,2025071600268,105,g_6
1432,2025071600291,140,r_57
1426,2025071600274,154,r_57
1431,2025071600276,146,r_57
1441,2025071600286,23,r_57
1427,2025071600273,102,r_57
1436,2025071600301,8,u_24
1435,2025071600295,140,r_57
1430,2025071600282,68,r_57
1440,2025071600311,63,u_24
1438,2025071600316,115,u_24
1442,2025071600308,23,u_24
1439,2025071600315,155,u_24
1437,2025071600285,159,r_57
1434,2025071600297,102,r_57
1445,2025071600306,52,u_24
1444,2025071600298,155,r_57
1443,2025071600292,115,r_57
1447,2025071600323,97,u_24
1450,2025071600322,184,u_24
1446,2025071600305,115,u_24
1457,2025071600339,16,z_20
1449,2025071600321,91,u_24
1452,2025071600317,66,u_24
1451,2025071600328,158,u_24
1456,2025071600334,108,z_20
1459,2025071600337,55,z_20
1455,2025071600326,60,u_24
1461,2025071600336,21,z_20
1453,2025071600331,45,z_20
1448,2025071600319,62,u_24
1468,2025071600350,182,z_20
1454,2025071600329,12,z_20
1460,2025071600353,149,z_20
1463,2025071600343,63,z_20
1462,2025071600333,107,z_20
1458,2025071600330,63,z_20
1472,2025071600347,182,z_20
1464,2025071600349,146,z_20
1469,2025071600346,105,z_20
1467,2025071700063,145,g_6
1473,2025071600355,137,z_20
1465,2025071600335,60,z_20
1485,2025071700159,166,u_24
1474,2025071600351,62,z_20
1478,2025071700100,99,g_6
1501,2025071700210,171,g_6
1492,2025071700206,71,g_6
1489,2025071700198,55,g_6
1477,2025071700117,36,r_57
1493,2025071700215,77,g_6
1480,2025071700078,88,g_6
1475,2025071700031,54,i_39
1479,2025071600357,145,z_20
1495,2025071700203,145,g_6
1499,2025071700207,30,g_6
1500,2025071700206,149,g_6
1486,2025071700129,133,r_57
1502,2025071700197,150,g_6
1471,2025071600356,154,z_20
1476,2025071700069,36,g_6
1483,2025071700095,12,g_6
1497,2025071700194,73,g_6
1487,2025071700126,88,r_57
1496,2025071700221,93,g_6
1491,2025071700194,35,g_6
1498,2025071700208,162,g_6
1503,2025071700241,150,r_57
1488,2025071700106,8,g_6
1494,2025071700163,15,u_24
1518,2025071700368,24,r_57
1517,2025071700393,183,r_57
1505,2025071700218,97,g_6
1508,2025071700265,96,r_57
1512,2025071700270,184,r_57
1516,2025071700259,77,r_57
1504,2025071700252,163,r_57
1519,2025071700376,179,r_57
1522,2025071700254,171,r_57
1513,2025071700262,94,r_57
1507,2025071700228,95,g_6
1524,2025071700374,14,r_57
1490,2025071700137,82,r_57
1481,2025071700110,106,r_57
1525,2025071700443,21,r_57
1520,2025071700369,62,r_57
1521,2025071700368,74,r_57
1511,2025071700247,145,r_57
1515,2025071700373,12,r_57
1531,2025071700449,186,r_57
1506,2025071700238,42,r_57
1523,2025071700375,177,r_57
1509,2025071700238,73,r_57
1482,2025071700148,99,r_57
1466,2025071700052,54,z_20
1514,2025071700379,37,r_57
1533,2025071700444,178,r_57
1484,2025071700143,12,r_57
1526,2025071700442,13,r_57
1528,2025071700448,99,r_57
1510,2025071700226,187,g_6
1536,2025071700492,167,r_57
1527,2025071700425,38,r_57
1541,2025071700483,178,i_39
1529,2025071700481,14,i_39
1530,2025071700394,99,r_57
1540,2025071700493,5,r_57
1532,2025071700431,9,r_57
1535,2025071700470,10,i_39
1534,2025071700480,170,i_39
1542,2025071700487,99,i_39
1537,2025071700441,170,r_57
1546,2025071700506,179,r_57
1538,2025071700482,21,i_39
1549,2025071700532,17,r_57
1543,2025071700464,38,i_39
1544,2025071700522,58,r_57
1548,2025071700528,93,r_57
1551,2025071700514,33,r_57
1550,2025071700537,17,r_57
1545,2025071700531,119,r_57
1547,2025071700521,113,r_57
1554,2025071700534,10,r_57
1556,2025071700553,90,r_57
1557,2025071700542,170,r_57
1552,2025071700514,49,r_57
1555,2025071700532,152,r_57
1558,2025071700537,45,r_57
1561,2025071700543,63,r_57
1553,2025071700516,118,r_57
1565,2025071700575,90,i_39
1562,2025071700570,61,i_39
1564,2025071700634,19,i_39
1574,2025071700651,24,i_39
1567,2025071700654,113,i_39
1560,2025071700548,61,r_57
1571,2025071700681,43,r_57
1572,2025071700628,43,i_39
1568,2025071700637,101,i_39
1563,2025071700673,2,r_57
1559,2025071700619,25,i_39
1570,2025071700658,78,i_39
1577,2025071700622,181,i_39
1566,2025071700619,52,i_39
1569,2025071700677,181,r_57
1573,2025071700687,19,r_57
1581,2025071700692,179,r_57
1575,2025071700633,127,i_39
1578,2025071700707,110,r_57
1582,2025071700690,101,r_57
1576,2025071700674,52,r_57
1583,2025071700709,66,r_57
1580,2025071700644,36,i_39
1588,2025071800045,86,g_6
1586,2025071800040,172,g_6
1579,2025071700656,66,i_39
1589,2025071700711,78,r_57
1587,2025071700704,24,r_57
1585,2025071700686,127,r_57
1594,2025071800081,26,g_6
1591,2025071700709,92,r_57
1584,2025071700674,25,r_57
1590,2025071700694,43,r_57
1595,2025071800031,26,g_6
1598,2025071800134,169,u_24
1611,2025071800208,10,u_24
1601,2025071800206,135,u_24
1605,2025071800117,17,u_24
1603,2025071800210,166,u_24
1613,2025071800259,80,u_24
1604,2025071800167,49,u_24
1600,2025071800169,86,u_24
1618,2025071800266,175,u_24
1606,2025071800138,79,u_24
1616,2025071800215,26,u_24
1608,2025071800233,117,u_24
1597,2025071800131,116,u_24
1621,2025071800271,29,u_24
1610,2025071800205,59,u_24
1615,2025071800265,130,u_24
1602,2025071800234,120,u_24
1612,2025071800236,108,u_24
1620,2025071800267,47,u_24
1619,2025071800300,1,r_57
1607,2025071800189,115,g_6
1627,2025071800272,178,u_24
1614,2025071800236,101,u_24
1593,2025071800129,87,u_24
1630,2025071800370,14,r_57
1623,2025071800273,104,u_24
1624,2025071800314,143,g_6
1609,2025071800147,149,u_24
1626,2025071800302,150,r_57
1617,2025071800239,43,u_24
1625,2025071800305,132,r_57
1631,2025071800338,63,g_6
1633,2025071800375,48,r_57
1635,2025071800398,48,r_57
1632,2025071800299,14,r_57
1592,2025071800049,53,g_6
1622,2025071800304,54,r_57
1639,2025071800400,41,r_57
1628,2025071800341,57,g_6
1638,2025071800378,80,r_57
1643,2025071800386,29,r_57
1629,2025071800279,39,u_24
1634,2025071800412,61,r_57
1640,2025071800443,100,i_39
1642,2025071800407,128,r_57
1636,2025071800353,43,r_57
1637,2025071800370,182,r_57
1646,2025071800368,41,r_57
1645,2025071800399,18,r_57
1641,2025071800445,61,i_39
1644,2025071800402,43,r_57
1649,2025071800451,44,i_39
1648,2025071800421,84,r_57
1663,2025071800501,6,i_39
1650,2025071800456,147,i_39
1647,2025071800446,60,i_39
1656,2025071800496,48,i_39
1659,2025071800468,58,r_57
1660,2025071800511,6,i_39
1654,2025071800469,58,r_57
1668,2025071800465,81,i_39
1661,2025071800503,152,i_39
1658,2025071800517,152,i_39
1655,2025071800483,48,r_57
1651,2025071900067,148,i_39
1657,2025071800518,38,i_39
1662,2025071800478,150,r_57
1672,2025071900109,135,u_24
1665,2025071800502,38,i_39
1652,2025071900046,150,r_57
1666,2025071900078,99,g_6
1671,2025071900110,34,u_24
1673,2025071900079,186,g_6
1669,2025071800513,38,i_39
1674,2025071900111,156,u_24
1653,2025071900046,103,r_57
1675,2025071800470,58,r_57
1664,2025071900067,103,i_39
1678,2025071900137,155,g_6
1687,2025071900261,25,g_6
1691,2025071900252,33,u_24
1689,2025071900261,184,g_6
1690,2025071900231,129,u_24
1698,2025071900277,178,u_24
1677,2025071900145,82,g_6
1692,2025071900229,83,u_24
1676,2025071900124,37,g_6
1693,2025071900289,101,g_6
1699,2025071900276,28,u_24
1701,2025071900247,103,u_24
1702,2025071900280,114,u_24
1706,2025071900293,72,g_6
1697,2025071900256,177,u_24
1694,2025071900235,55,u_24
1704,2025071900282,57,u_24
1679,2025071900119,135,g_6
1703,2025071900296,113,g_6
1696,2025071900234,63,u_24
1708,2025071900304,183,g_6
1716,2025071900380,167,u_24
1695,2025071900249,64,u_24
1685,2025071900212,83,r_57
1714,2025071900347,136,u_24
1705,2025071900277,43,u_24
1723,2025071900463,78,u_24
1682,2025071900160,34,g_6
1680,2025071900150,142,g_6
1728,2025071900432,25,g_6
1719,2025071900352,183,u_24
1713,2025071900332,167,g_6
1707,2025071900299,136,g_6
1709,2025071900304,55,g_6
1721,2025071900380,41,u_24
1726,2025071900410,84,g_6
1715,2025071900381,133,u_24
1681,2025071900217,142,r_57
1725,2025071900439,126,g_6
1718,2025071900332,38,g_6
1683,2025071900113,156,g_6
1724,2025071900436,52,g_6
1717,2025071900352,55,u_24
1722,2025071900400,117,g_6
1727,2025071900403,38,g_6
1667,2025071900059,137,i_39
1732,2025071900463,156,u_24
1729,2025071900462,154,u_24
1730,2025071900401,115,g_6
1735,2025071900459,81,u_24
1684,2025071900172,37,r_57
1733,2025071900470,171,u_24
1740,2025071900479,186,u_24
1711,2025071900331,158,g_6
1686,2025071900227,21,r_57
1742,2025071900477,179,u_24
1744,2025071900524,32,u_24
1731,2025071900400,125,g_6
1720,2025071900379,45,u_24
1736,2025071900445,127,g_6
1734,2025071900476,46,u_24
1747,2025071900480,15,u_24
1739,2025071900498,117,g_6
1738,2025071900442,62,g_6
1710,2025071900333,133,g_6
1743,2025071900517,81,u_24
1750,2025071900534,9,r_57
1751,2025071900525,110,u_24
1748,2025071900517,60,u_24
1741,2025071900504,155,g_6
1745,2025071900471,54,u_24
1749,2025071900537,77,r_57
1712,2025071900331,48,g_6
1737,2025071900464,52,u_24
1753,2025071900535,59,r_57
1755,2025071900556,162,g_6
1761,2025071900557,22,g_6
1759,2025071900555,72,g_6
1760,2025071900537,165,r_57
1752,2025071900536,83,r_57
1771,2025071900628,162,g_6
1770,2025071900619,33,g_6
1758,2025071900547,48,r_57
1766,2025071900557,109,g_6
1757,2025071900556,57,g_6
1767,2025071900572,135,i_39
1764,2025071900571,43,i_39
1756,2025071900565,43,g_6
1765,2025071900566,135,g_6
1774,2025071900571,135,i_39
1768,2025071900618,111,g_6
1763,2025071900565,135,g_6
1782,2025071900656,166,g_6
1780,2025071900643,177,g_6
1754,2025071900536,160,r_57
1762,2025071900566,43,g_6
1775,2025071900573,135,i_39
1772,2025071900573,43,i_39
1777,2025071900634,166,g_6
1776,2025071900628,60,g_6
1781,2025071900657,63,g_6
1790,2025071900657,72,g_6
1787,2025071900666,26,r_57
1792,2025071900705,72,r_57
1769,2025071900572,43,i_39
1788,2025071900667,33,r_57
1785,2025071900666,111,r_57
1786,2025071900684,1,r_57
1789,2025071900661,46,r_57
1779,2025071900676,60,r_57
1791,2025071900691,178,r_57
1795,2025071900676,162,r_57
1773,2025071900636,1,g_6
1798,2025071900708,2,r_57
1794,2025071900704,166,r_57
1793,2025071900710,144,r_57
1801,2025071900716,182,r_57
1803,2025071900717,14,r_57
1796,2025071900694,133,r_57
1783,2025071900646,133,g_6
1700,2025071900161,156,r_57
1797,2025071900713,134,r_57
1799,2025071900705,63,r_57
1784,2025071900682,167,r_57
1804,2025071900717,16,r_57
1807,2025072000128,73,u_24
1802,2025071900714,47,r_57
1810,2025072000094,19,u_24
1814,2025072000075,170,u_24
1820,2025072000132,175,u_24
1817,2025072000074,166,u_24
1823,2025072000174,11,r_57
1806,2025072000115,159,u_24
1816,2025072000149,89,u_24
1821,2025072000160,172,u_24
1826,2025072000218,11,i_39
1800,2025072000027,170,g_6
1818,2025072000142,97,u_24
1813,2025072000097,19,u_24
1825,2025072000177,128,r_57
1832,2025072000182,167,r_57
1819,2025072000152,67,u_24
1822,2025072000150,70,u_24
1828,2025072000170,150,r_57
1815,2025072000114,117,u_24
1824,2025072000221,128,i_39
1838,2025072000297,12,r_57
1808,2025072000046,19,g_6
1829,2025072000181,63,r_57
1827,2025072000142,164,u_24
1837,2025072000226,167,i_39
1835,2025072000214,150,i_39
1836,2025072000253,129,g_6
1809,2025072000081,105,u_24
1830,2025072000182,39,r_57
1831,2025072000204,120,r_57
1833,2025072000199,82,r_57
1843,2025072000282,145,u_24
1834,2025072000226,36,i_39
1845,2025072000333,107,r_57
1847,2025072000272,26,u_24
1844,2025072000225,63,i_39
1811,2025072000049,19,g_6
1841,2025072000302,141,r_57
1839,2025072000252,120,i_39
1850,2025072000274,30,u_24
1849,2025072000228,121,i_39
1846,2025072000311,56,r_57
